label,sample_idx,rank,way_id,dist_m,highway,oneway,name,bicycle,nodes,way_bearing_deg,angle_vs_travel_deg
品川→東京,17,1,1033723439,3.476,trunk,yes,旧海岸通り,,15,142.1,
品川→東京,17,2,1033723438,5.291,tertiary,,,,7,-111.4,
品川→東京,17,3,4848894,5.69,tertiary,,,,2,-121.3,
品川→東京,17,4,211690630,5.69,trunk,yes,旧海岸通り,,5,146.9,
品川→東京,17,5,819493647,9.049,footway,,,yes,3,-21.7,
品川→東京,17,6,462907582,9.889,footway,,,yes,8,-63.8,
品川→東京,17,7,819491169,12.955,footway,,,yes,4,44.9,
品川→東京,17,8,4848900,13.649,trunk,yes,旧海岸通り,,15,-42.4,
品川→東京,18,1,741785139,0.346,tertiary_link,yes,,,6,-28.0,179.0
品川→東京,18,2,1033723439,5.365,trunk,yes,旧海岸通り,,15,146.3,6.7
品川→東京,18,3,4848900,6.041,trunk,yes,旧海岸通り,,15,-22.6,175.6
品川→東京,18,4,33847389,11.522,tertiary,,,,22,-118.4,88.6
品川→東京,18,5,176741269,11.881,tertiary_link,yes,,,8,-20.4,173.5
品川→東京,18,6,818846284,12.046,footway,,,yes,5,-59.4,147.6
品川→東京,18,7,818846285,14.908,footway,,,yes,3,-57.8,149.2
品川→東京,18,8,176741270,16.041,residential,yes,,,3,30.3,122.8
品川→東京,19,1,1033723439,1.086,trunk,yes,旧海岸通り,,15,159.0,
品川→東京,19,2,656235284,1.583,trunk,yes,第一京浜,,2,54.7,
品川→東京,19,3,147812389,2.205,tertiary,yes,,,10,160.6,
品川→東京,19,4,265345994,2.205,trunk,yes,第一京浜,,18,47.0,
品川→東京,19,5,147812395,8.697,tertiary,yes,,,11,-16.4,
品川→東京,19,6,4848900,8.802,trunk,yes,旧海岸通り,,15,-16.4,
品川→東京,19,7,656235283,8.802,trunk,yes,第一京浜,,6,63.7,
品川→東京,19,8,315233375,16.242,trunk,yes,第一京浜,,25,-132.8,
立川→国分寺,2,1,81601827,1.917,unclassified,yes,,,7,-123.1,
立川→国分寺,2,2,138427594,4.217,tertiary,yes,立川南通り,,11,156.1,
立川→国分寺,2,3,1450313121,4.471,footway,,,,4,-126.2,
立川→国分寺,2,4,138427587,5.903,tertiary,yes,立川南通り,,19,-23.8,
立川→国分寺,2,5,81066239,6.6,unclassified,yes,,,12,-122.3,
立川→国分寺,2,6,1450313126,7.634,footway,,,,3,158.2,
立川→国分寺,2,7,1450313123,7.666,footway,,,,4,-123.3,
立川→国分寺,2,8,1450313124,8.546,footway,,,,15,180.0,
立川→国分寺,3,1,1429406683,1.399,tertiary,yes,立川南通り,,6,173.9,180.0
立川→国分寺,3,2,1453544791,3.621,footway,,,,7,174.0,179.9
立川→国分寺,3,3,138427587,5.485,tertiary,yes,立川南通り,,19,-8.8,2.6
立川→国分寺,3,4,1450313131,36.304,footway,,,,3,-3.9,2.2
立川→国分寺,3,5,1453544792,36.304,footway,,,,3,-108.5,102.4
立川→国分寺,3,6,1429406684,41.385,tertiary,,みのわ通り,,2,78.6,84.7
立川→国分寺,3,7,138427514,41.53,service,,,,3,77.0,83.1
立川→国分寺,3,8,138427594,41.727,tertiary,yes,立川南通り,,11,169.2,175.4
立川→国分寺,4,1,138427587,0.86,tertiary,yes,立川南通り,,19,3.2,
立川→国分寺,4,2,1429406683,8.607,tertiary,yes,立川南通り,,6,177.5,
立川→国分寺,4,3,1453544791,10.754,footway,,,,7,178.3,
立川→国分寺,4,4,1453544790,15.009,footway,,,,4,-92.2,
立川→国分寺,4,5,1453544789,16.134,footway,,,,4,-130.3,
立川→国分寺,4,6,138427593,22.801,service,,,,4,-26.6,
立川→国分寺,4,7,53348163,24.766,tertiary,,羽衣いちょう通り,,9,82.1,
立川→国分寺,4,8,138427588,25.106,tertiary,yes,立川南通り,,10,-2.6,
千葉→幕張本郷,95,1,151808574,1.139,unclassified,,,,20,-45.9,
千葉→幕張本郷,95,2,151808598,2.825,unclassified,,,,7,-135.5,
千葉→幕張本郷,95,3,151808609,3.047,unclassified,yes,,,8,-41.9,
千葉→幕張本郷,95,4,352689942,8.836,footway,,,,16,-73.1,
千葉→幕張本郷,95,5,140120588,54.24,unclassified,,,,4,-134.5,
千葉→幕張本郷,96,1,151808609,2.179,unclassified,yes,,,8,-41.9,178.2
千葉→幕張本郷,96,2,352689942,5.784,footway,,,,16,7.0,132.8
千葉→幕張本郷,96,3,1039464256,8.501,steps,,,,3,-56.2,164.0
千葉→幕張本郷,96,4,1039464254,9.0,footway,,,,5,-135.2,85.0
千葉→幕張本郷,96,5,140120603,11.357,tertiary,yes,,,2,-135.2,85.0
千葉→幕張本郷,96,6,140120620,18.76,tertiary,yes,,,2,45.0,94.8
千葉→幕張本郷,96,7,352684118,25.163,footway,,,,5,44.6,95.3
千葉→幕張本郷,96,8,352684117,25.978,steps,,,,3,137.9,1.9
千葉→幕張本郷,97,1,151808575,5.762,pedestrian,,,,7,-134.2,
千葉→幕張本郷,97,2,1083425463,5.877,footway,,,,3,-45.1,
千葉→幕張本郷,97,3,352684116,12.984,footway,,,,4,46.0,
千葉→幕張本郷,97,4,352684117,13.606,steps,,,,3,137.9,
千葉→幕張本郷,97,5,387938699,13.659,service,yes,,,5,-67.0,
千葉→幕張本郷,97,6,387938690,15.224,service,yes,,,2,-46.0,
千葉→幕張本郷,97,7,1083425464,16.852,footway,,,,2,-135.5,
千葉→幕張本郷,97,8,352684118,18.622,footway,,,,5,44.6,
