point_id,source_csv_line,label,sample_idx,lat,lng,way_id,opposing_way_exists,comparison_way_id,comparison_type,way_name,comparison_name,names_match,point_to_way_m,point_to_comparison_way_m,local_centerline_gap_m,wrong_way_angle_vs_travel_deg,target_divider_tags,comparison_divider_tags,nearby_separation_feature_count,nearby_separation_features
P02,62,東京→渋谷,15,35.6598,139.743,474601303,True,1250775758,opposing,東京タワー通り,東京タワー通り,True,2.233,12.139,9.916,133.7,,,4,"way 204339317 (barrier=guard_rail, 17.686m) | way 204339601 (barrier=guard_rail, 16.158m) | way 204339621 (barrier=guard_rail, 19.481m) | way 281216406 (barrier=guard_rail, 10.202m)"
P03,65,東京→渋谷,18,35.66017,139.74041,271979254,True,858775692,opposing,外苑東通り,外苑東通り,True,7.664,0.802,6.862,179.5,,,0,
P05,100,品川→東京,18,35.64862,139.75466,741785139,False,1033723439,parallel_candidate,,旧海岸通り,False,0.346,5.365,5.018,179.0,,,0,
P06,107,品川→東京,25,35.66705,139.76072,667962675,True,667962674,opposing,中央通り,中央通り,True,9.432,0.738,8.693,172.8,,,0,
P11,212,立川→国分寺,3,35.69153,139.42453,1429406683,True,138427587,opposing,立川南通り,立川南通り,True,1.399,5.485,6.883,180.0,,,2,"way 24398923 (railway=rail, 13.915m) | way 399827726 (railway=rail, 17.515m)"
P14,266,川崎→武蔵小杉,11,35.55607,139.67756,263457845,True,31875063,opposing,南武沿線道路,南武沿線道路,True,10.052,1.23,8.821,178.1,,,1,"way 1123050668 (barrier=hedge, 6.062m)"
P15,302,千葉→幕張本郷,19,35.62677,140.11468,22961575,True,23052404,opposing,国道126号,国道126号,True,9.375,3.348,12.723,179.5,,,0,
P16,307,千葉→幕張本郷,24,35.6346,140.11174,22961575,True,23052404,opposing,国道126号,国道126号,True,7.975,2.931,10.904,176.9,,,0,
N01,44,新宿→池袋,22,35.7252,139.71136,228180934,True,648625671,opposing,明治通り,明治通り,True,2.964,4.482,7.446,169.4,,,0,
N02,260,川崎→武蔵小杉,5,35.54306,139.69367,992241606,True,263456981,opposing,府中街道,府中街道,True,2.754,4.331,7.074,170.3,,,0,
