population,point_id,label,way_id,lat,lng,route_idx,recorded_group,recorded_diag_angle_deg,oneway,highway,name,way_node_count,closed_way,route_idx_used,detection_to_route_vertex_m,detection_to_way_m,local_way_segment_number_one_based,local_allowed_direction_start,local_allowed_direction_end,travel_vector,local_angle_route_vs_allowed_deg,local_direction_says_reverse,existing_function_detected,existing_vs_local_consistent
current12,P01,渋谷→新宿,138533178,35.68928,139.7022,19,残存A群,175.5,yes,unclassified,,3,False,19,0.0,1.391,1,"(139.7021703, 35.6893321)","(139.70223810000002, 35.6890786)","[-0.0005999999999914962, 0.0016699999999971737]",175.988,True,True,True
current12,N01,新宿→池袋,228180934,35.7252,139.71136,25,想定外,169.4,yes,primary,明治通り,18,False,25,0.0,2.962,5,"(139.71142030000001, 35.725298300000006)","(139.7113569, 35.7250649)","[0.0004799999999818283, 0.0026399999999995316]",175.961,True,True,True
current12,P05,品川→東京,741785139,35.64862,139.75466,30,,168.8,yes,tertiary_link,,6,False,30,0.0,0.348,2,"(139.75454480000002, 35.6486662)","(139.7546863, 35.648605100000005)","[-0.001959999999996853, 0.0008100000000013097]",178.971,True,True,True
current12,P07',荻窪→阿佐ヶ谷,80835360,35.70401,139.63283,13,,175.0,yes,residential,,8,False,13,0.0,0.55,7,"(139.6328607, 35.7040141)","(139.6328061, 35.703997400000006)","[0.003299999999995862, 0.0009000000000014552]",177.926,True,True,True
current12,P08,自由が丘→等々力,350353685,35.60661,139.66757,4,残存A群,164.8,yes,service,,10,False,4,0.0,0.21,4,"(139.6675439, 35.606613800000005)","(139.66811570000002, 35.606572)","[-0.0008800000000235286, -0.00039999999999906777]",145.654,True,True,True
current12,P10,立川→国分寺,853388885,35.69665,139.4128,0,C群,179.0,yes,tertiary,,10,False,0,0.0,0.123,7,"(139.4127987, 35.6966448)","(139.4129222, 35.6968752)","[-0.0005199999999945248, -0.0009900000000016007]",179.577,True,True,True
current12,P11,立川→国分寺,1429406683,35.69153,139.42453,3,,178.1,yes,tertiary,立川南通り,6,False,3,0.0,1.407,5,"(139.42459720000002, 35.6915114)","(139.42406970000002, 35.6915575)","[0.001949999999993679, -0.00017000000000422233]",179.985,True,True,True
current12,P12,横浜→みなとみらい,28413948,35.46414,139.62264,4,C群,173.4,yes,unclassified,,11,False,4,0.0,0.999,8,"(139.6226404, 35.4641193)","(139.6226742, 35.4641788)","[-0.0004500000000007276, -0.0010499999999993292]",174.413,True,True,True
current12,P13,横浜→みなとみらい,28413948,35.46358,139.62261,5,C群,173.4,yes,unclassified,,11,False,5,0.0,0.716,6,"(139.6226014, 35.4635728)","(139.6226283, 35.463861)","[-0.00018000000000029104, -0.0010199999999969123]",176.168,True,True,True
current12,N02,川崎→武蔵小杉,992241606,35.54306,139.69367,5,,170.3,yes,trunk,府中街道,8,False,5,0.0,2.762,7,"(139.6934213, 35.5432608)","(139.69378650000002, 35.5430134)","[-0.005629999999996471, 0.003880000000002326]",179.516,True,True,True
