population,point_id,way_id,geometry_identical,before_detected,after_detected,classification_identical
current12,P01,138533178,True,True,True,True
current12,N01,228180934,True,True,True,True
current12,P05,741785139,True,True,True,True
current12,P07',80835360,True,True,True,True
current12,P08,350353685,True,True,True,True
current12,P10,853388885,True,True,True,True
current12,P11,1429406683,True,True,True,True
current12,P12,28413948,True,True,True,True
current12,P13,28413948,True,True,True,True
current12,N02,992241606,True,True,True,True
current12,P17,142222817,True,True,True,True
current12,P18,151808609,True,True,True,True
legacy18,P01,138533178,True,True,True,True
legacy18,P02,474601303,True,True,True,True
legacy18,P03,271979254,True,True,True,True
legacy18,P04,23690216,True,True,True,True
legacy18,P05,741785139,True,True,True,True
legacy18,P06,667962675,True,True,True,True
legacy18,P07,80835360,True,True,True,True
legacy18,P08,350353685,True,True,True,True
legacy18,P09,325347768,True,True,True,True
legacy18,P10,853388885,True,True,True,True
legacy18,P11,1429406683,True,True,True,True
legacy18,P12,28413948,True,True,True,True
legacy18,P13,28413948,True,True,True,True
legacy18,P14,263457845,True,True,True,True
legacy18,P15,22961575,True,True,True,True
legacy18,P16,22961575,True,True,True,True
legacy18,P17,142222817,True,True,True,True
legacy18,P18,151808609,True,True,True,True
