label,right_turn_index_global,lat,lng,margin_m,rank1_way_id,rank1_highway,rank1_lanes,rank1_two_step_required,rank2_way_id,rank2_highway,rank2_lanes,rank2_two_step_required,decision_diff,decision_impact_ambiguous_2m
東京→渋谷,0,35.67519,139.75985,8.383,59266960,trunk,3,True,474593059,footway,,False,True,False
東京→渋谷,1,35.6598,139.743,0.881,858775693,trunk,2,False,858775686,primary,1,True,True,True
東京→渋谷,2,35.65947,139.74263,3.932,19023682,primary_link,1,False,858775692,primary,2,True,True,False
品川→東京,3,35.63051,139.74365,1954.462,558518250,pedestrian,,False,265345994,trunk,3,True,True,False
品川→東京,4,35.64911,139.75297,0.497,1033723439,trunk,2,False,656235284,trunk,3,True,True,True
下北沢→三軒茶屋,5,35.66121,139.66946,3.785,31824941,tertiary,2,False,1076444529,pedestrian,,False,False,False
下北沢→三軒茶屋,6,35.66018,139.66883,0.241,31824941,tertiary,2,False,33614319,unclassified,,False,False,False
立川→国分寺,7,35.69359,139.44711,0.273,53348166,residential,,False,135230354,footway,,False,False,False
横浜→みなとみらい,8,35.46117,139.62985,1.359,25944286,tertiary,,False,25944240,tertiary,,False,False,False
川崎→武蔵小杉,9,35.57003,139.66775,2.573,561778848,path,,False,812902514,path,,False,False,False
川崎→武蔵小杉,10,35.57043,139.66777,38.855,812902514,path,,False,561778848,path,,False,False,False
千葉→幕張本郷,11,35.6388,140.09682,4.129,176181803,secondary,4,True,144532234,unclassified,,False,True,False
千葉→幕張本郷,12,35.63832,140.09347,0.672,1545996537,tertiary,2,False,176181803,secondary,4,True,True,True
千葉→幕張本郷,13,35.64628,140.08398,1.359,176443607,residential,,False,142225531,footway,,False,False,False
千葉→幕張本郷,14,35.64694,140.08385,0.001,176443607,residential,,False,142259721,footway,,False,False,False
千葉→幕張本郷,15,35.65273,140.06544,2.665,312441870,footway,,False,1410024945,tertiary,,False,False,False
千葉→幕張本郷,16,35.65338,140.06439,6.859,232975633,residential,,False,232975637,residential,,False,False,False
千葉→幕張本郷,17,35.65602,140.06282,3.128,22762849,unclassified,,False,140120585,unclassified,,False,False,False
千葉→幕張本郷,18,35.65598,140.06121,1.754,219629137,residential,,False,142222808,residential,,False,False,False
千葉→幕張本郷,19,35.66394,140.05166,0.376,194093231,service,,False,194093235,service,,False,False,False
千葉→幕張本郷,20,35.66496,140.04776,3.597,151811151,residential,,False,151808574,unclassified,,False,False,False
千葉→幕張本郷,21,35.66532,140.0472,0.968,151811151,residential,,False,270039222,tertiary,,False,False,False
千葉→幕張本郷,22,35.67089,140.04181,0.393,151808598,unclassified,,False,270039222,tertiary,,False,False,False
