label,sample_idx,route_idx,lat,lng,margin_m,geometric_ambiguous_2m,decision_tuple_diff,semantic_decision_tuple_diff,decision_impact_ambiguous_2m,violation_flip,violation_flip_ambiguous_2m,rank1_way_id,rank1_highway,rank1_oneway,rank1_oneway_semantic,rank1_direction,rank1_exemption,rank1_status,rank1_violation,rank1_misaligned,rank2_way_id,rank2_highway,rank2_oneway,rank2_oneway_semantic,rank2_direction,rank2_exemption,rank2_status,rank2_violation,rank2_misaligned
渋谷→新宿,0,0,35.65957,139.70235,0.52,True,True,True,True,False,False,664492786,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,534157302,primary,yes,forward,with,,legal_forward,False,False
渋谷→新宿,1,1,35.6636,139.70206,1.718,True,True,True,True,False,False,798794765,tertiary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,1069882500,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
渋谷→新宿,2,2,35.66473,139.70251,6.564,False,True,True,False,False,False,798739072,primary,yes,forward,with,,legal_forward,False,False,1073294152,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
渋谷→新宿,3,3,35.66846,139.70532,1.151,True,True,True,True,False,False,798739072,primary,yes,forward,with,,legal_forward,False,False,944268180,secondary,yes,forward,against,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,4,4,35.67018,139.70672,2.743,False,True,True,False,False,False,117083664,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,1368012337,primary,yes,forward,with,,legal_forward,False,False
渋谷→新宿,5,5,35.67208,139.70808,2.276,False,True,True,False,False,False,1061981261,primary,yes,forward,with,,legal_forward,False,False,1061981255,tertiary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,6,6,35.67248,139.70807,0.519,True,True,True,True,False,False,1061981252,primary,yes,forward,with,,legal_forward,False,False,665965038,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
渋谷→新宿,7,7,35.67453,139.70712,0.054,True,True,True,True,False,False,1061981252,primary,yes,forward,with,,legal_forward,False,False,670335461,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,8,8,35.67753,139.70602,4.179,False,True,True,False,False,False,670335467,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False,798794766,primary,yes,forward,with,,legal_forward,False,False
渋谷→新宿,9,9,35.67994,139.70451,0.797,True,True,True,True,False,False,796871114,primary,yes,forward,with,,legal_forward,False,False,41857396,residential,,none,not_applicable,,out_of_scope_no_oneway,False,False
渋谷→新宿,10,10,35.68032,139.70451,4.263,False,True,True,False,False,False,796871114,primary,yes,forward,with,,legal_forward,False,False,860381101,secondary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,11,11,35.68083,139.70453,0.19,True,False,False,False,False,False,860381103,primary,yes,forward,with,,legal_forward,False,False,39683367,unclassified,yes,forward,with,,legal_forward,False,False
渋谷→新宿,12,12,35.68233,139.70455,4.755,False,True,True,False,False,False,213526441,primary,yes,forward,with,,legal_forward,False,False,39683528,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,13,13,35.68306,139.7045,2.309,False,False,False,False,False,False,213526441,primary,yes,forward,with,,legal_forward,False,False,1119117311,primary,yes,forward,with,,legal_forward,False,False
渋谷→新宿,14,14,35.68366,139.70429,1.44,True,True,True,True,False,False,213526441,primary,yes,forward,with,,legal_forward,False,False,1463063079,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,15,15,35.68444,139.70381,1.104,True,True,True,True,False,False,213526441,primary,yes,forward,with,,legal_forward,False,False,199152225,unclassified,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,16,16,35.68602,139.70336,6.141,False,True,True,False,False,False,213526441,primary,yes,forward,with,,legal_forward,False,False,567002242,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,17,17,35.68783,139.70284,4.353,False,True,True,False,False,False,199152190,primary,yes,forward,with,,legal_forward,False,False,924378580,unclassified,yes,forward,against,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,18,19,35.68928,139.7022,4.062,False,True,True,False,True,False,138533178,unclassified,yes,forward,against,,violation,True,False,670733022,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
渋谷→新宿,19,20,35.68962,139.70208,0.832,True,True,True,True,False,False,39436592,unclassified,,none,not_applicable,,out_of_scope_no_oneway,False,False,692356898,living_street,yes,forward,with,,legal_forward,False,False
新宿→池袋,0,0,35.69136,139.70164,1.748,True,True,True,True,False,False,155224464,unclassified,yes,forward,with,oneway:bicycle=no,legal_bicycle_exempt,False,False,306838996,secondary,yes,forward,with,,out_of_scope_axis_misaligned,False,True
新宿→池袋,1,1,35.6911,139.70338,0.056,True,True,True,True,False,False,155224464,unclassified,yes,forward,with,oneway:bicycle=no,legal_bicycle_exempt,False,False,39436618,unclassified,yes,forward,against,oneway:bicycle=no,out_of_scope_axis_misaligned,False,True
新宿→池袋,2,3,35.6905,139.70455,0.687,True,True,True,True,False,False,39436598,unclassified,yes,forward,against,,out_of_scope_axis_misaligned,False,True,670763643,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
新宿→池袋,3,4,35.69362,139.70649,6.037,False,True,True,False,False,False,1120796134,primary,yes,forward,with,,legal_forward,False,False,660599138,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
新宿→池袋,4,6,35.6944,139.70669,4.723,False,True,True,False,False,False,688686080,primary,yes,forward,with,,legal_forward,False,False,318034646,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
新宿→池袋,5,7,35.69487,139.7068,1.526,True,True,True,True,False,False,688686080,primary,yes,forward,with,,legal_forward,False,False,39436538,unclassified,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,6,8,35.69656,139.70716,1.752,True,True,True,True,False,False,688686080,primary,yes,forward,with,,legal_forward,False,False,244906595,tertiary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,7,9,35.69793,139.70743,1.513,True,True,True,True,False,False,688819559,primary,yes,forward,with,,legal_forward,False,False,697197851,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,8,10,35.69961,139.70777,1.079,True,True,True,True,False,False,691691444,primary,yes,forward,with,,legal_forward,False,False,682765997,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,9,11,35.70088,139.70799,0.192,True,True,True,True,False,False,691691444,primary,yes,forward,with,,legal_forward,False,False,98726948,secondary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,10,12,35.70197,139.70818,1.89,True,True,True,True,False,False,415221604,primary,yes,forward,with,,legal_forward,False,False,1334924028,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,11,13,35.70344,139.70847,0.018,True,True,True,True,False,False,415221604,primary,yes,forward,with,,legal_forward,False,False,94515954,unclassified,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,12,14,35.7048,139.70863,0.896,True,True,True,True,False,False,69518078,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,415221604,primary,yes,forward,with,,legal_forward,False,False
