point_id,way_id,group,lat,lng,record_source,label,sample_idx,route_idx,rank1_way_id,rank2_way_id,rank1_dist_m,rank2_dist_m,verify_source,route_point_offset_m,direction_method,direction_ref_route_idx,direct_neighbor_distance_m,direction_used_distance_m,direction_extended,direction_skipped_points,travel_bearing_deg,rank1_highway,rank1_oneway,rank1_nearest_segment_idx,rank1_nearest_segment_dist_m,rank1_way_bearing_deg,rank1_direction_diff_deg,rank1_production_oneway_detected,rank1_production_confidence,rank2_highway,rank2_oneway,rank2_nearest_segment_idx,rank2_nearest_segment_dist_m,rank2_way_bearing_deg,rank2_direction_diff_deg,rank2_production_oneway_detected,rank2_production_confidence
P01,138533178,A,35.68928,139.7022,docs/検証記録/検証記録_18点.md:21,渋谷→新宿,18,19,138533178,670733022,1.392,5.454,bicycle-navi/backend/data/verify_match_margin_points.csv:20,0.0,backward,18,154.112,154.112,False,0,343.663,unclassified,yes,0,1.392,167.744,175.919,True,1.0,footway,,3,5.454,231.645,112.018,False,0.0
P04,23690216,A,35.62903,139.74278,docs/検証記録/検証記録_18点.md:24,品川→東京,2,5,172281627,23690216,0.951,2.13,bicycle-navi/backend/data/verify_match_margin_points.csv:84,0.0,backward,4,43.439,43.439,False,0,92.934,footway,,4,0.951,91.83,1.104,False,0.0,unclassified,yes,2,2.13,184.019,91.085,True,1.0
P07,80835360,A,35.70462,139.63456,docs/検証記録/検証記録_18点.md:27,荻窪→阿佐ヶ谷,11,14,87704269,80835360,0.639,2.384,bicycle-navi/backend/data/verify_match_margin_points.csv:170,0.0,backward,13,170.301,170.301,False,0,66.528,residential,yes,9,0.639,341.27,85.258,False,0.0,residential,yes,0,2.384,242.867,176.339,True,1.0
P08,350353685,A,35.60661,139.66757,docs/検証記録/検証記録_18点.md:28,自由が丘→等々力,2,4,350353685,200093226,0.208,3.119,bicycle-navi/backend/data/verify_match_margin_points.csv:175,0.0,backward,3,48.236,48.236,False,0,276.619,service,yes,3,0.208,95.138,178.519,True,1.0,footway,,1,3.119,102.178,174.441,False,0.0
P09,325347768,A,35.85906,139.65813,docs/検証記録/検証記録_18点.md:29,浦和→さいたま新都心,1,2,1444864905,325347768,0.51,1.014,bicycle-navi/backend/data/verify_match_margin_points.csv:184,0.0,backward,1,23.522,23.522,False,0,61.788,tertiary,yes,5,0.51,64.086,2.298,False,0.0,unclassified,yes,5,1.014,141.403,79.615,False,0.0
P17,142222817,A,35.65934,140.05664,docs/検証記録/検証記録_18点.md:37,千葉→幕張本郷,76,108,142222817,142222832,1.638,20.287,bicycle-navi/backend/data/verify_match_margin_points.csv:359,0.0,backward,107,48.635,48.635,False,0,288.668,residential,yes,3,1.638,121.867,166.801,True,1.0,residential,,7,20.287,164.2,124.468,False,0.0
N01,228180934,B,35.7252,139.71136,docs/検証記録/検証記録_新規2点.md:11,新宿→池袋,22,25,228180934,648625671,2.964,4.482,bicycle-navi/backend/data/verify_match_margin_points.csv:44,0.0,backward,24,88.961,88.961,False,0,0.581,primary,yes,4,2.964,192.436,168.145,True,1.0,primary,yes,25,4.482,11.598,11.017,False,0.0
N02,992241606,B,35.54306,139.69367,docs/検証記録/検証記録_新規2点.md:12,川崎→武蔵小杉,5,5,992241606,263456981,2.754,4.331,bicycle-navi/backend/data/verify_match_margin_points.csv:260,0.0,backward,4,435.261,435.261,False,0,318.463,trunk,yes,6,2.754,129.779,171.316,True,1.0,trunk,yes,1,4.331,314.923,3.54,False,0.0
P02,474601303,B,35.6598,139.743,docs/検証記録/検証記録_18点.md:22,東京→渋谷,15,16,858775693,858775686,1.34,2.22,bicycle-navi/backend/data/verify_match_margin_points.csv:62,0.0,backward,15,43.516,43.516,False,0,184.764,trunk,yes,3,1.34,183.142,1.622,False,0.0,primary,yes,0,2.22,62.09,122.674,True,0.7
P03,271979254,B,35.66017,139.74041,docs/検証記録/検証記録_18点.md:23,東京→渋谷,18,19,858775692,682315373,0.802,4.484,bicycle-navi/backend/data/verify_match_margin_points.csv:65,0.0,backward,18,149.75,149.75,False,0,295.983,primary,yes,11,0.802,296.391,0.408,False,0.0,footway,,1,4.484,296.597,0.614,False,0.0
P05,741785139,B,35.64862,139.75466,docs/検証記録/検証記録_18点.md:25,品川→東京,18,30,741785139,1033723439,0.346,5.365,bicycle-navi/backend/data/verify_match_margin_points.csv:100,0.0,backward,29,43.143,43.143,False,0,325.564,tertiary_link,yes,1,0.346,117.985,152.421,True,1.0,trunk,yes,5,5.365,303.701,21.863,False,0.0
