label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,node_rank1_group,rank1_way_id,rank1_group,rank1_highway,rank1_oneway,rank1_name,rank1_bicycle,rank1_dist_m,rank2_way_id,rank2_highway,rank2_oneway,rank2_dist_m,match_margin_m,match_ambiguous,rank1_is_nonroad,rank1_bicycle_exempt,rank1_excluded,filt_rank1_way_id,filt_rank1_group,filt_rank1_highway,filt_rank1_oneway,filt_rank1_name,filt_rank1_dist_m,filt_fallback_used,switched,oneway_violation_baseline,oneway_confidence_baseline,oneway_misaligned_baseline,oneway_violation_filtered,oneway_confidence_filtered,oneway_misaligned_filtered,violation_changed,diag_angle_baseline_deg,diag_angle_filtered_deg
渋谷→新宿,0,0,35.65957,139.70235,206,664527476,,664492786,,footway,,,,0.412,534157302,primary,yes,0.932,0.52,True,True,False,True,534157302,,primary,yes,明治通り,0.932,False,True,False,0.0,True,False,0.0,False,False,90.0,0.2
渋谷→新宿,1,1,35.6636,139.70206,206,798794765,,798794765,,tertiary,,神宮通り,,0.187,1069882500,footway,,1.905,1.718,True,False,False,False,798794765,,tertiary,,神宮通り,0.187,False,False,False,0.0,True,False,0.0,True,False,110.0,110.0
渋谷→新宿,2,2,35.66473,139.70251,206,798739072,,798739072,,primary,yes,明治通り,,0.951,1073294152,footway,,7.516,6.564,False,False,False,False,798739072,,primary,yes,明治通り,0.951,False,False,False,0.0,False,False,0.0,False,False,2.4,2.4
渋谷→新宿,3,3,35.66846,139.70532,206,798739072,,798739072,,primary,yes,明治通り,,0.765,944268180,secondary,yes,1.916,1.151,True,False,False,False,798739072,,primary,yes,明治通り,0.765,False,False,False,0.0,False,False,0.0,False,False,1.4,1.4
渋谷→新宿,4,4,35.67018,139.70672,206,26604007,,117083664,,residential,,,,0.12,1368012337,primary,yes,2.862,2.743,False,False,False,False,117083664,,residential,,,0.12,False,False,False,0.0,True,False,0.0,True,False,98.5,98.5
渋谷→新宿,5,5,35.67208,139.70808,206,1061981253,,1061981261,,primary,yes,明治通り,,1.016,1061981255,tertiary,,3.292,2.276,False,False,False,False,1061981261,,primary,yes,明治通り,1.016,False,False,False,0.0,False,False,0.0,False,False,1.7,1.7
渋谷→新宿,6,6,35.67248,139.70807,206,1061981252,,1061981252,,primary,yes,明治通り,,2.648,665965038,footway,,3.167,0.519,True,False,False,False,1061981252,,primary,yes,明治通り,2.648,False,False,False,0.0,False,False,0.0,False,False,3.2,3.2
渋谷→新宿,7,7,35.67453,139.70712,206,670335461,,1061981252,,primary,yes,明治通り,,2.852,670335461,footway,,2.906,0.054,True,False,False,False,1061981252,,primary,yes,明治通り,2.852,False,False,False,0.0,False,False,0.0,False,False,2.6,2.6
渋谷→新宿,8,8,35.67753,139.70602,206,798794766,,670335467,,footway,,,,1.013,798794766,primary,yes,5.192,4.179,False,True,False,True,798794766,,primary,yes,明治通り,5.192,False,True,False,0.0,False,False,0.0,False,False,178.1,4.4
渋谷→新宿,9,9,35.67994,139.70451,206,41857396,,796871114,,primary,yes,明治通り,,0.735,41857396,residential,,1.531,0.797,True,False,False,False,796871114,,primary,yes,明治通り,0.735,False,False,False,0.0,False,False,0.0,False,False,1.1,1.1
渋谷→新宿,10,10,35.68032,139.70451,206,796871114,,796871114,,primary,yes,明治通り,,0.007,860381101,secondary,,4.269,4.263,False,False,False,False,796871114,,primary,yes,明治通り,0.007,False,False,False,0.0,False,False,0.0,False,False,28.6,28.6
渋谷→新宿,11,11,35.68083,139.70453,206,39683367,,860381103,,primary,yes,明治通り,,1.693,39683367,unclassified,yes,1.884,0.19,True,False,False,False,860381103,,primary,yes,明治通り,1.693,False,False,False,0.0,False,False,0.0,False,False,0.2,0.2
渋谷→新宿,12,12,35.68233,139.70455,206,213526441,,213526441,,primary,yes,明治通り,,1.499,39683528,residential,,6.254,4.755,False,False,False,False,213526441,,primary,yes,明治通り,1.499,False,False,False,0.0,False,False,0.0,False,False,14.4,14.4
渋谷→新宿,13,13,35.68306,139.7045,206,1119117311,,213526441,,primary,yes,明治通り,,0.797,1119117311,primary,yes,3.106,2.309,False,False,False,False,213526441,,primary,yes,明治通り,0.797,False,False,False,0.0,False,False,0.0,False,False,4.1,4.1
渋谷→新宿,14,14,35.68366,139.70429,206,39683340,,213526441,,primary,yes,明治通り,,0.556,1463063079,footway,,1.996,1.44,True,False,False,False,213526441,,primary,yes,明治通り,0.556,False,False,False,0.0,False,False,0.0,False,False,11.4,11.4
渋谷→新宿,15,15,35.68444,139.70381,206,199152225,,213526441,,primary,yes,明治通り,,0.934,199152225,unclassified,,2.039,1.104,True,False,False,False,213526441,,primary,yes,明治通り,0.934,False,False,False,0.0,False,False,0.0,False,False,6.3,6.3
渋谷→新宿,16,16,35.68602,139.70336,206,213526441,,213526441,,primary,yes,明治通り,,0.923,567002242,footway,,7.065,6.141,False,False,False,False,213526441,,primary,yes,明治通り,0.923,False,False,False,0.0,False,False,0.0,False,False,0.8,0.8
渋谷→新宿,17,17,35.68783,139.70284,206,199152190,,199152190,,primary,yes,明治通り,,0.172,924378580,unclassified,yes,4.525,4.353,False,False,False,False,199152190,,primary,yes,明治通り,0.172,False,False,False,0.0,False,False,0.0,False,False,40.7,40.7
渋谷→新宿,18,19,35.68928,139.7022,206,138533178,A,138533178,A,unclassified,yes,,,1.392,670733022,footway,,5.454,4.062,False,False,False,False,138533178,A,unclassified,yes,,1.392,False,False,True,1.0,False,True,1.0,False,False,175.5,175.5
渋谷→新宿,19,20,35.68962,139.70208,206,39436592,,39436592,,unclassified,,新宿ランブリングロード,,1.072,692356898,living_street,yes,1.905,0.832,True,False,False,False,39436592,,unclassified,,新宿ランブリングロード,1.072,False,False,False,0.0,False,False,0.0,False,False,8.9,8.9
新宿→池袋,0,0,35.69136,139.70164,188,155224464,,155224464,,unclassified,yes,,,0.685,306838996,secondary,yes,2.433,1.748,True,False,False,False,155224464,,unclassified,yes,,0.685,False,False,False,0.0,False,False,0.0,False,False,1.0,1.0
