label,road_type,algo_version,origin_lat,origin_lng,dest_lat,dest_lng,original_distance_m,compliant_distance_m,distance_diff_m,distance_diff_pct,violation_count,violation_count_high_conf,violation_count_low_conf,violation_types,rerouted,error
渋谷→新宿,幹線道路中心,v3,35.658,139.7016,35.6895,139.7006,4387.3,4387.3,0.0,0.0,2,2,0,two_step_turn,False,
東京→渋谷,幹線道路中心,v3,35.6812,139.7671,35.658,139.7016,7742.8,7742.8,0.0,0.0,2,2,0,two_step_turn,False,
新宿→池袋,幹線道路中心,v3,35.6895,139.7006,35.7295,139.7109,5847.3,5847.3,0.0,0.0,4,4,0,two_step_turn,False,
品川→東京,幹線道路中心,v3,35.6284,139.7387,35.6812,139.7671,7862.2,7862.2,0.0,0.0,1,1,0,two_step_turn,False,
渋谷→六本木,幹線道路中心,v3,35.658,139.7016,35.6604,139.7292,3409.2,3409.2,0.0,0.0,0,0,0,,False,
下北沢→三軒茶屋,住宅街中心,v3,35.6614,139.6675,35.6435,139.6696,2233.1,2233.1,0.0,0.0,1,1,0,two_step_turn,False,
高円寺→中野,住宅街中心,v3,35.7047,139.6493,35.7076,139.6657,1932.9,1932.9,0.0,0.0,1,1,0,two_step_turn,False,
荻窪→阿佐ヶ谷,住宅街中心,v3,35.7059,139.624,35.7073,139.6386,1428.8,1428.8,0.0,0.0,0,0,0,,False,
自由が丘→等々力,住宅街中心,v3,35.6076,139.6694,35.6064,139.6533,2121.8,2121.8,0.0,0.0,0,0,0,,False,
浦和→さいたま新都心,住宅街中心,v3,35.8597,139.6556,35.8898,139.6321,4427.7,4427.7,0.0,0.0,1,1,0,two_step_turn,False,
吉祥寺→三鷹,混在型,v3,35.7029,139.5797,35.6837,139.5584,4038.6,4038.6,0.0,0.0,1,1,0,two_step_turn,False,
立川→国分寺,混在型,v3,35.6978,139.413,35.7014,139.4783,6758.7,6758.7,0.0,0.0,0,0,0,,False,
横浜→みなとみらい,混在型,v3,35.4658,139.6225,35.4581,139.638,2276.4,2276.4,0.0,0.0,0,0,0,,False,
川崎→武蔵小杉,混在型,v3,35.5347,139.7026,35.5777,139.6601,8311.1,8311.1,0.0,0.0,1,1,0,two_step_turn,False,
千葉→幕張本郷,混在型,v3,35.6136,140.1114,35.6535,140.0494,8398.8,8398.8,0.0,0.0,0,0,0,,False,
