label,road_type,system_distance_m,system_time_s,system_violation_count,system_violation_count_high_conf,google_distance_m,google_time_s,google_oneway_violation_count,google_two_step_violation_count,google_total_violation_count,notes,scorer_route_distance_m,scorer_sampled_points,scored_at
渋谷→新宿,幹線道路中心,4439.5,1176.3,0,0,3600,840,1,0,1,,3591.2,20,2026-08-24 17:52:10
東京→渋谷,幹線道路中心,8242.5,1969.2,3,3,7200,1920,0,1,1,,7261.1,35,2026-08-24 17:52:10
新宿→池袋,幹線道路中心,5331.5,1392.0,0,0,4600,1140,1,0,1,,4586.0,25,2026-08-24 17:52:10
品川→東京,幹線道路中心,7685.9,1996.3,1,1,6900,1680,1,0,1,,6869.6,36,2026-08-24 17:52:10
渋谷→六本木,幹線道路中心,3409.2,832.1,0,0,2700,720,0,0,0,,2862.6,16,2026-08-24 17:52:10
下北沢→三軒茶屋,住宅街中心,2233.1,485.2,1,1,2200,540,0,0,0,,2240.5,15,2026-08-24 17:52:10
高円寺→中野,住宅街中心,1903.3,462.0,1,1,1500,360,0,0,0,,1442.9,10,2026-08-24 17:52:10
荻窪→阿佐ヶ谷,住宅街中心,1428.8,318.1,0,0,1500,360,1,0,1,,1457.8,14,2026-08-24 17:52:10
自由が丘→等々力,住宅街中心,2105.7,421.9,0,0,2200,540,1,0,1,,2171.1,10,2026-08-24 17:52:10
浦和→さいたま新都心,住宅街中心,4427.7,902.1,1,1,4600,1200,0,0,0,,4627.3,21,2026-08-24 17:52:10
吉祥寺→三鷹,混在型,3988.6,932.5,1,1,1700,480,0,0,0,,1688.9,5,2026-08-24 17:52:10
立川→国分寺,混在型,6758.4,1470.1,0,0,7100,1740,2,0,2,,7103.5,34,2026-08-24 17:52:10
横浜→みなとみらい,混在型,2697.6,868.5,1,1,1400,480,2,0,2,,1403.9,12,2026-08-24 17:52:10
川崎→武蔵小杉,混在型,8049.3,1780.7,1,1,6500,1620,1,0,1,,6532.8,28,2026-08-24 17:52:10
千葉→幕張本郷,混在型,8416.1,1780.5,1,1,12200,2820,2,1,3,,12134.9,98,2026-08-24 17:52:10
