label,road_type,system_distance_m,system_time_s,system_violation_count,system_violation_count_high_conf,google_distance_m,google_time_s,google_oneway_violation_count,google_two_step_violation_count,google_total_violation_count,route_overlap_pct,screenshot_filename,notes,scorer_route_distance_m,scorer_sampled_points,scored_at
渋谷→新宿,幹線道路中心,,,,,,,,,,,,,,,
東京→渋谷,幹線道路中心,,,,,,,,,,,,,,,
新宿→池袋,幹線道路中心,,,,,,,,,,,,,,,
品川→東京,幹線道路中心,,,,,,,,,,,,,,,
渋谷→六本木,幹線道路中心,,,,,,,,,,,,,,,
下北沢→三軒茶屋,住宅街中心,,,,,,,,,,,,,,,
高円寺→中野,住宅街中心,,,,,,,,,,,,,,,
荻窪→阿佐ヶ谷,住宅街中心,,,,,,,,,,,,,,,
自由が丘→等々力,住宅街中心,,,,,,,,,,,,,,,
浦和→さいたま新都心,住宅街中心,,,,,,,,,,,,,,,
吉祥寺→三鷹,混在型,,,,,,,,,,,,,,,
立川→国分寺,混在型,,,,,,,,,,,,,,,
横浜→みなとみらい,混在型,,,,,,,,,,,,,,,
川崎→武蔵小杉,混在型,,,,,,,,,,,,,,,
千葉→幕張本郷,混在型,,,,,,,,,,,,,,,
