label,road_type,feature_type,osm_tag,detection_method,corridor_candidates,on_route_way_candidates,on_route_candidates,excluded_count,detected_count,counting_unit,pairs_total,pairs_with_detection,pairs_with_zero_detection,route_distance_m,overpass_snapshot_date,note
渋谷→新宿,幹線道路中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,12,2,1,0,1,OSMノード数（進行方向が適用されるもののみ）,,,,4439.5,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
渋谷→新宿,幹線道路中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,20,1,0,19,0,物理箇所数（クラスタ後）,,,,4439.5,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差19・不明0・tram way0
東京→渋谷,幹線道路中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,12,1,1,0,1,OSMノード数（進行方向が適用されるもののみ）,,,,8242.5,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
東京→渋谷,幹線道路中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,24,1,0,23,0,物理箇所数（クラスタ後）,,,,8242.5,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差23・不明0・tram way0
新宿→池袋,幹線道路中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,5,2,1,0,1,OSMノード数（進行方向が適用されるもののみ）,,,,5331.5,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
新宿→池袋,幹線道路中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,16,0,0,16,0,物理箇所数（クラスタ後）,,,,5331.5,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差16・不明0・tram way1
品川→東京,幹線道路中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,8,4,4,1,3,OSMノード数（進行方向が適用されるもののみ）,,,,7685.9,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
品川→東京,幹線道路中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,39,0,0,39,0,物理箇所数（クラスタ後）,,,,7685.9,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差39・不明0・tram way0
渋谷→六本木,幹線道路中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,13,1,1,0,1,OSMノード数（進行方向が適用されるもののみ）,,,,3409.2,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
渋谷→六本木,幹線道路中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,6,1,0,5,0,物理箇所数（クラスタ後）,,,,3409.2,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差5・不明0・tram way0
下北沢→三軒茶屋,住宅街中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,22,1,1,0,1,OSMノード数（進行方向が適用されるもののみ）,,,,2233.1,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
下北沢→三軒茶屋,住宅街中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,0,0,0,0,0,物理箇所数（クラスタ後）,,,,2233.1,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差0・不明0・tram way0
高円寺→中野,住宅街中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,3,1,1,0,1,OSMノード数（進行方向が適用されるもののみ）,,,,1903.3,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
高円寺→中野,住宅街中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,15,0,0,15,0,物理箇所数（クラスタ後）,,,,1903.3,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差15・不明0・tram way0
荻窪→阿佐ヶ谷,住宅街中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,4,3,3,2,1,OSMノード数（進行方向が適用されるもののみ）,,,,1428.8,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
荻窪→阿佐ヶ谷,住宅街中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,0,0,0,0,0,物理箇所数（クラスタ後）,,,,1428.8,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差0・不明0・tram way0
自由が丘→等々力,住宅街中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,19,9,5,3,2,OSMノード数（進行方向が適用されるもののみ）,,,,2105.7,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
自由が丘→等々力,住宅街中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,6,2,2,4,1,物理箇所数（クラスタ後）,,,,2105.7,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差4・不明0・tram way0
浦和→さいたま新都心,住宅街中心,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,1,0,0,0,0,OSMノード数（進行方向が適用されるもののみ）,,,,4427.7,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
浦和→さいたま新都心,住宅街中心,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,17,0,0,17,0,物理箇所数（クラスタ後）,,,,4427.7,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差17・不明0・tram way0
吉祥寺→三鷹,混在型,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,0,0,0,0,0,OSMノード数（進行方向が適用されるもののみ）,,,,3988.6,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
吉祥寺→三鷹,混在型,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,7,0,0,7,0,物理箇所数（クラスタ後）,,,,3988.6,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差7・不明0・tram way0
立川→国分寺,混在型,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,1,0,0,0,0,OSMノード数（進行方向が適用されるもののみ）,,,,6758.4,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
立川→国分寺,混在型,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,13,2,2,11,1,物理箇所数（クラスタ後）,,,,6758.4,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差11・不明0・tram way0
横浜→みなとみらい,混在型,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,0,0,0,0,0,OSMノード数（進行方向が適用されるもののみ）,,,,2277.7,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
