label,sample_idx,route_idx,lat,lng,candidate_count,rank1_way_id,rank1_highway,rank1_bicycle,rank1_access,rank1_oneway,rank1_name,rank1_dist_m,rank2_way_id,rank2_highway,rank2_bicycle,rank2_access,rank2_oneway,rank2_name,rank2_dist_m,match_margin_m,match_ambiguous_2m,pair_local_angle_deg,pair_shared_node,pair_pattern,filtered_candidate_count,filtered_rank1_way_id,filtered_rank1_highway,filtered_rank1_dist_m,filtered_rank2_way_id,filtered_rank2_highway,filtered_rank2_dist_m,filtered_margin_m,filtered_ambiguous_2m,ambiguity_changed_2m
渋谷→新宿,0,0,35.65957,139.70235,206,664492786,footway,,,,,0.412,534157302,primary,,,yes,明治通り,0.932,0.52,True,86.7,False,(c) 交差点付近の交差・接続way,99,534157302,primary,0.932,213526440,tertiary,3.474,2.541,False,True
渋谷→新宿,1,1,35.6636,139.70206,206,798794765,tertiary,,,,神宮通り,0.187,1069882500,footway,,,,,1.905,1.718,True,85.6,True,(c) 交差点付近の交差・接続way,99,798794765,tertiary,0.187,931455737,primary,3.926,3.739,False,True
渋谷→新宿,2,2,35.66473,139.70251,206,798739072,primary,,,yes,明治通り,0.951,1073294152,footway,,,,,7.516,6.564,False,2.0,False,(b) 車道と並走する歩道・自転車道,99,798739072,primary,0.951,798794768,primary,10.711,9.759,False,False
渋谷→新宿,3,3,35.66846,139.70532,206,798739072,primary,,,yes,明治通り,0.765,944268180,secondary,,,yes,表参道,1.916,1.151,True,89.2,True,(c) 交差点付近の交差・接続way,99,798739072,primary,0.765,944268180,secondary,1.916,1.151,True,False
渋谷→新宿,4,4,35.67018,139.70672,206,117083664,residential,,,,,0.12,1368012337,primary,,,yes,明治通り,2.862,2.743,False,54.5,True,(c) 交差点付近の交差・接続way,99,117083664,residential,0.12,1368012337,primary,2.862,2.743,False,False
渋谷→新宿,5,5,35.67208,139.70808,206,1061981261,primary,,,yes,明治通り,1.016,1061981255,tertiary,,,,,3.292,2.276,False,88.6,True,(c) 交差点付近の交差・接続way,99,1061981261,primary,1.016,1061981255,tertiary,3.292,2.276,False,False
渋谷→新宿,6,6,35.67248,139.70807,206,1061981252,primary,,,yes,明治通り,2.648,665965038,footway,,,,,3.167,0.519,True,4.8,False,(b) 車道と並走する歩道・自転車道,99,1061981252,primary,2.648,1061981256,primary,9.943,7.295,False,True
渋谷→新宿,7,7,35.67453,139.70712,206,1061981252,primary,,,yes,明治通り,2.852,670335461,footway,,,,,2.906,0.054,True,76.6,True,(c) 交差点付近の交差・接続way,99,1061981252,primary,2.852,1061981256,primary,5.199,2.347,False,True
渋谷→新宿,8,8,35.67753,139.70602,206,670335467,footway,,,,,1.013,798794766,primary,,,yes,明治通り,5.192,4.179,False,0.9,False,(b) 車道と並走する歩道・自転車道,99,798794766,primary,5.192,796871112,primary,14.478,9.286,False,False
渋谷→新宿,9,9,35.67994,139.70451,206,796871114,primary,,,yes,明治通り,0.735,41857396,residential,,,,,1.531,0.797,True,59.8,True,(c) 交差点付近の交差・接続way,99,796871114,primary,0.735,41857396,residential,1.531,0.797,True,False
渋谷→新宿,10,10,35.68032,139.70451,206,796871114,primary,,,yes,明治通り,0.007,860381101,secondary,,,,四谷角筈線,4.269,4.263,False,77.8,True,(c) 交差点付近の交差・接続way,99,796871114,primary,0.007,860381101,secondary,4.269,4.263,False,False
渋谷→新宿,11,11,35.68083,139.70453,206,860381103,primary,,,yes,明治通り,1.693,39683367,unclassified,,,yes,,1.884,0.19,True,79.9,True,(c) 交差点付近の交差・接続way,99,860381103,primary,1.693,39683367,unclassified,1.884,0.19,True,False
渋谷→新宿,12,12,35.68233,139.70455,206,213526441,primary,,,yes,明治通り,1.499,39683528,residential,,,,,6.254,4.755,False,45.1,True,(c) 交差点付近の交差・接続way,99,213526441,primary,1.499,39683528,residential,6.254,4.755,False,False
渋谷→新宿,13,13,35.68306,139.7045,206,213526441,primary,,,yes,明治通り,0.797,1119117311,primary,no,,yes,,3.106,2.309,False,10.4,True,(c) 交差点付近の交差・接続way,99,213526441,primary,0.797,534166943,footway,5.048,4.251,False,False
渋谷→新宿,14,14,35.68366,139.70429,206,213526441,primary,,,yes,明治通り,0.556,1463063079,footway,,,,千駄ヶ谷五丁目歩道橋,1.996,1.44,True,87.3,False,(c) 交差点付近の交差・接続way,99,213526441,primary,0.556,39683340,unclassified,2.853,2.297,False,True
渋谷→新宿,15,15,35.68444,139.70381,206,213526441,primary,,,yes,明治通り,0.934,199152225,unclassified,,,,うまや道,2.039,1.104,True,68.4,True,(c) 交差点付近の交差・接続way,99,213526441,primary,0.934,199152225,unclassified,2.039,1.104,True,False
渋谷→新宿,16,16,35.68602,139.70336,206,213526441,primary,,,yes,明治通り,0.923,567002242,footway,,,,,7.065,6.141,False,2.1,False,(b) 車道と並走する歩道・自転車道,99,213526441,primary,0.923,199152191,primary,7.575,6.651,False,False
渋谷→新宿,17,17,35.68783,139.70284,206,199152190,primary,,,yes,明治通り,0.172,924378580,unclassified,,,yes,,4.525,4.353,False,83.9,True,(c) 交差点付近の交差・接続way,99,199152190,primary,0.172,924378580,unclassified,4.525,4.353,False,False
渋谷→新宿,18,19,35.68928,139.7022,206,138533178,unclassified,,,yes,,1.392,670733022,footway,,,,,5.454,4.062,False,64.2,False,(c) 交差点付近の交差・接続way,99,138533178,unclassified,1.392,170232029,unclassified,5.64,4.247,False,False
渋谷→新宿,19,20,35.68962,139.70208,206,39436592,unclassified,,,,新宿ランブリングロード,1.072,692356898,living_street,,,yes,武蔵野通り,1.905,0.832,True,45.4,True,(c) 交差点付近の交差・接続way,99,39436592,unclassified,1.072,692356898,living_street,1.905,0.832,True,False
