rank1_highway,rank2_highway,count
residential,residential,24
tertiary,footway,22
tertiary,tertiary,19
primary,footway,15
unclassified,unclassified,14
trunk,footway,13
trunk,trunk,13
secondary,footway,12
unclassified,footway,11
tertiary,residential,9
tertiary,unclassified,9
unclassified,residential,9
primary,primary,8
residential,service,8
residential,unclassified,8
unclassified,tertiary,8
residential,footway,7
secondary,tertiary,7
trunk,tertiary,7
pedestrian,footway,6
primary,residential,6
primary,tertiary,6
residential,tertiary,6
service,footway,6
primary,secondary,5
primary,unclassified,5
secondary,secondary,5
footway,primary,4
footway,residential,4
footway,secondary,4
residential,primary,4
secondary,residential,4
secondary,service,4
service,service,4
tertiary,pedestrian,4
tertiary,primary,4
tertiary,secondary,4
footway,footway,3
footway,tertiary,3
footway,trunk,3
residential,secondary,3
secondary,primary,3
secondary,unclassified,3
service,residential,3
tertiary,service,3
tertiary,trunk,3
trunk,secondary,3
footway,tertiary_link,2
path,path,2
pedestrian,pedestrian,2
secondary,motorway,2
service,tertiary,2
trunk,primary,2
trunk,residential,2
unclassified,service,2
cycleway,cycleway,1
cycleway,footway,1
cycleway,unclassified,1
footway,pedestrian,1
footway,steps,1
footway,unclassified,1
path,footway,1
pedestrian,cycleway,1
primary,steps,1
primary_link,primary,1
residential,steps,1
residential,track,1
secondary,motorway_link,1
service,secondary,1
service,unclassified,1
tertiary,tertiary_link,1
tertiary_link,footway,1
tertiary_link,trunk,1
track,unclassified,1
trunk,unclassified,1
trunk_link,footway,1
trunk_link,trunk,1
unclassified,living_street,1
unclassified,secondary,1
unclassified,steps,1
