rank1_highway,rank2_highway,count
residential,residential,17
tertiary,tertiary,11
tertiary,residential,8
unclassified,unclassified,8
unclassified,tertiary,7
residential,footway,6
primary,footway,5
primary,residential,5
tertiary,footway,5
unclassified,residential,5
primary,primary,4
primary,tertiary,4
primary,unclassified,4
residential,tertiary,4
secondary,tertiary,4
service,service,4
tertiary,secondary,4
tertiary,unclassified,4
trunk,tertiary,4
trunk,trunk,4
footway,footway,3
footway,trunk,3
residential,service,3
residential,unclassified,3
secondary,secondary,3
tertiary,primary,3
unclassified,footway,3
footway,primary,2
footway,residential,2
footway,secondary,2
footway,tertiary_link,2
pedestrian,footway,2
primary,secondary,2
residential,secondary,2
secondary,primary,2
service,residential,2
tertiary,service,2
tertiary,trunk,2
trunk,footway,2
trunk,secondary,2
cycleway,footway,1
footway,steps,1
footway,unclassified,1
pedestrian,cycleway,1
pedestrian,pedestrian,1
residential,primary,1
secondary,footway,1
secondary,motorway_link,1
secondary,residential,1
secondary,service,1
secondary,unclassified,1
service,footway,1
service,secondary,1
service,tertiary,1
tertiary,pedestrian,1
tertiary,tertiary_link,1
track,unclassified,1
trunk,primary,1
trunk,residential,1
trunk_link,footway,1
trunk_link,trunk,1
unclassified,living_street,1
unclassified,secondary,1
unclassified,service,1
