scope,tag,value,count,pct_within_scope
all,highway,footway,99,26.12
all,highway,residential,61,16.09
all,highway,tertiary,58,15.3
all,highway,unclassified,44,11.61
all,highway,primary,26,6.86
all,highway,secondary,26,6.86
all,highway,service,21,5.54
all,highway,trunk,21,5.54
all,highway,pedestrian,7,1.85
all,highway,steps,4,1.06
all,highway,tertiary_link,3,0.79
all,highway,cycleway,2,0.53
all,highway,motorway,2,0.53
all,highway,path,2,0.53
all,highway,living_street,1,0.26
all,highway,motorway_link,1,0.26
all,highway,track,1,0.26
all,bicycle,(missing),364,96.04
all,bicycle,no,6,1.58
all,bicycle,yes,5,1.32
all,bicycle,designated,4,1.06
all,access,(missing),370,97.63
all,access,yes,9,2.37
all,oneway,(missing),268,70.71
all,oneway,yes,109,28.76
all,oneway,no,2,0.53
margin_lt_2m,highway,residential,41,21.81
margin_lt_2m,highway,tertiary,35,18.62
margin_lt_2m,highway,footway,30,15.96
margin_lt_2m,highway,unclassified,22,11.7
margin_lt_2m,highway,secondary,17,9.04
margin_lt_2m,highway,primary,13,6.91
margin_lt_2m,highway,service,11,5.85
margin_lt_2m,highway,trunk,10,5.32
margin_lt_2m,highway,tertiary_link,3,1.6
margin_lt_2m,highway,pedestrian,2,1.06
margin_lt_2m,highway,cycleway,1,0.53
margin_lt_2m,highway,living_street,1,0.53
margin_lt_2m,highway,motorway_link,1,0.53
margin_lt_2m,highway,steps,1,0.53
margin_lt_2m,bicycle,(missing),180,95.74
margin_lt_2m,bicycle,designated,3,1.6
margin_lt_2m,bicycle,yes,3,1.6
margin_lt_2m,bicycle,no,2,1.06
margin_lt_2m,access,(missing),182,96.81
margin_lt_2m,access,yes,6,3.19
margin_lt_2m,oneway,(missing),128,68.09
margin_lt_2m,oneway,yes,59,31.38
margin_lt_2m,oneway,no,1,0.53
