label,road_type,r1_origin_lat,r1_origin_lng,r1_dest_lat,r1_dest_lng,polyline_start_lat,polyline_start_lng,polyline_end_lat,polyline_end_lng,origin_offset_m,dest_offset_m,google_routes_input_line
渋谷→新宿,幹線道路中心,35.6580,139.7016,35.6895,139.7006,35.65957,139.70235,35.68962,139.70208,187.3,134.3,2
新宿→池袋,幹線道路中心,35.6895,139.7006,35.7295,139.7109,35.69136,139.70164,35.72720,139.71112,227.1,256.5,3
東京→渋谷,幹線道路中心,35.6812,139.7671,35.6580,139.7016,35.67791,139.76377,35.65792,139.70353,473.6,174.6,4
品川→東京,幹線道路中心,35.6284,139.7387,35.6812,139.7671,35.62877,139.74184,35.67741,139.76558,286.8,443.2,5
渋谷→六本木,幹線道路中心,35.6580,139.7016,35.6604,139.7292,35.65792,139.70354,35.66324,139.73207,175.5,408.6,6
下北沢→三軒茶屋,住宅街中心,35.6614,139.6675,35.6435,139.6696,35.66155,139.66772,35.64365,139.67116,25.9,142.0,7
高円寺→中野,住宅街中心,35.7047,139.6493,35.7076,139.6657,35.70566,139.65054,35.70613,139.66535,154.7,166.5,8
荻窪→阿佐ヶ谷,住宅街中心,35.7059,139.6240,35.7073,139.6386,35.70425,139.62101,35.70470,139.63559,326.4,396.8,9
自由が丘→等々力,住宅街中心,35.6076,139.6694,35.6064,139.6533,35.60767,139.66856,35.60857,139.64751,76.3,576.4,10
浦和→さいたま新都心,住宅街中心,35.8597,139.6556,35.8898,139.6321,35.85878,139.65799,35.89411,139.63417,238.4,514.2,11
吉祥寺→三鷹,混在型,35.7029,139.5797,35.6837,139.5584,35.70293,139.57722,35.70333,139.56089,224.0,2194.3,12
立川→国分寺,混在型,35.6978,139.4130,35.7014,139.4783,35.69665,139.41280,35.69941,139.48015,129.1,277.3,13
横浜→みなとみらい,混在型,35.4658,139.6225,35.4581,139.6380,35.46478,139.62296,35.45889,139.63163,120.8,583.6,14
川崎→武蔵小杉,混在型,35.5347,139.7026,35.5777,139.6601,35.53185,139.69658,35.57323,139.66325,630.2,572.9,15
千葉→幕張本郷,混在型,35.6136,140.1114,35.6535,140.0494,35.61359,140.11442,35.67235,140.04207,273.0,2198.1,16
