label,road_type,origin_lat,origin_lng,dest_lat,dest_lng
渋谷→新宿,幹線道路中心,35.6580,139.7016,35.6895,139.7006
東京→渋谷,幹線道路中心,35.6812,139.7671,35.6580,139.7016
新宿→池袋,幹線道路中心,35.6895,139.7006,35.7295,139.7109
品川→東京,幹線道路中心,35.6284,139.7387,35.6812,139.7671
渋谷→六本木,幹線道路中心,35.6580,139.7016,35.6604,139.7292
下北沢→三軒茶屋,住宅街中心,35.6614,139.6675,35.6435,139.6696
高円寺→中野,住宅街中心,35.7047,139.6493,35.7076,139.6657
荻窪→阿佐ヶ谷,住宅街中心,35.7059,139.6240,35.7073,139.6386
自由が丘→等々力,住宅街中心,35.6076,139.6694,35.6064,139.6533
浦和→さいたま新都心,住宅街中心,35.8597,139.6556,35.8898,139.6321
吉祥寺→三鷹,混在型,35.7029,139.5797,35.6837,139.5584
立川→国分寺,混在型,35.6978,139.4130,35.7014,139.4783
横浜→みなとみらい,混在型,35.4658,139.6225,35.4581,139.6380
川崎→武蔵小杉,混在型,35.5347,139.7026,35.5777,139.6601
千葉→幕張本郷,混在型,35.6136,140.1114,35.6535,140.0494
