label,road_type,algo_version,status,error,oneway_violation_count,oneway_violation_count_high_conf,oneway_violation_count_low_conf,oneway_way_ids,two_step_required_intersections,right_turn_count,two_step_unambiguous_determinate_count,two_step_ambiguous_determinate_count,two_step_unknown_count,two_step_excluded_count,two_step_excluded_edge_count_insufficient,two_step_excluded_entry_way,two_step_excluded_exit_way,two_step_diagnostics_json,sampled_points,overpass_endpoint_counts
渋谷→新宿,幹線道路中心,v4,OK,,1,1,0,138533178,0,0,0,0,0,0,0,0,0,[],20,overpass-api.de=20; maps.mail.ru=0
新宿→池袋,幹線道路中心,v4,OK,,1,1,0,228180934,0,0,0,0,0,0,0,0,0,[],25,overpass-api.de=25; maps.mail.ru=0
東京→渋谷,幹線道路中心,v4,OK,,0,0,0,,2,3,0,3,0,1,1,0,0,"[{""point"":[139.75985,35.67519],""route_idx"":2,""entry_ref_idx"":1,""exit_ref_idx"":3,""angle_deg"":46.3,""entry_way_id"":661590932,""exit_way_id"":59266960,""entry_highway"":""footway"",""exit_highway"":""trunk"",""entry_match_dist_m"":0.758,""exit_match_dist_m"":2.021,""entry_match_margin_m"":1.868,""exit_match_margin_m"":3.515,""entry_candidates"":[{""way_id"":661590932,""highway"":""footway"",""distance_m"":0.758},{""way_id"":59266960,""highway"":""trunk"",""distance_m"":2.626}],""exit_candidates"":[{""way_id"":59266960,""highway"":""trunk"",""distance_m"":2.021}],""ambiguous"":true,""node_id"":6483620500,""edge_count"":2,""connected_ways"":[{""way_id"":59266960,""highway"":""trunk"",""excluded"":false,""edge_count"":2}],""determinate"":true,""ambiguous_but_determinate"":true,""combination_results"":[{""entry_way_id"":661590932,""entry_highway"":""footway"",""exit_way_id"":59266960,""exit_highway"":""trunk"",""decision"":""excluded"",""reasons"":[""edge_count_insufficient"",""entry_way_excluded""]},{""entry_way_id"":59266960,""entry_highway"":""trunk"",""exit_way_id"":59266960,""exit_highway"":""trunk"",""decision"":""excluded"",""reasons"":[""edge_count_insufficient""]}],""status"":""excluded"",""edge_count_insufficient"":true,""entry_excluded"":false,""exit_excluded"":false},{""point"":[139.743,35.6598],""route_idx"":16,""entry_ref_idx"":15,""exit_ref_idx"":17,""angle_deg"":58.5,""entry_way_id"":858775693,""exit_way_id"":858775691,""entry_highway"":""trunk"",""exit_highway"":""trunk"",""entry_match_dist_m"":1.247,""exit_match_dist_m"":4.153,""entry_match_margin_m"":2.84,""exit_match_margin_m"":0.944,""entry_candidates"":[{""way_id"":858775693,""highway"":""trunk"",""distance_m"":1.247}],""exit_candidates"":[{""way_id"":858775691,""highway"":""trunk"",""distance_m"":4.153},{""way_id"":858775694,""highway"":""primary"",""distance_m"":5.097},{""way_id"":858775692,""highway"":""primary"",""distance_m"":5.297},{""way_id"":23456325,""highway"":""primary"",""distance_m"":5.734},{""way_id"":1376772877,""highway"":""trunk"",""distance_m"":5.734}],""ambiguous"":true,""node_id"":2398054941,""edge_count"":4,""connected_ways"":[{""way_id"":474601303,""highway"":""tertiary"",""excluded"":false,""edge_count"":1},{""way_id"":858775685,""highway"":""trunk"",""excluded"":false,""edge_count"":1},{""way_id"":858775686,""highway"":""primary"",""excluded"":false,""edge_count"":1},{""way_id"":858775693,""highway"":""trunk"",""excluded"":false,""edge_count"":1}],""determinate"":true,""ambiguous_but_determinate"":true,""combination_results"":[{""entry_way_id"":858775693,""entry_highway"":""trunk"",""exit_way_id"":858775691,""exit_highway"":""trunk"",""decision"":""detected"",""reasons"":[]},{""entry_way_id"":858775693,""entry_highway"":""trunk"",""exit_way_id"":858775694,""exit_highway"":""primary"",""decision"":""detected"",""reasons"":[]},{""entry_way_id"":858775693,""entry_highway"":""trunk"",""exit_way_id"":858775692,""exit_highway"":""primary"",""decision"":""detected"",""reasons"":[]},{""entry_way_id"":858775693,""entry_highway"":""trunk"",""exit_way_id"":23456325,""exit_highway"":""primary"",""decision"":""detected"",""reasons"":[]},{""entry_way_id"":858775693,""entry_highway"":""trunk"",""exit_way_id"":1376772877,""exit_highway"":""trunk"",""decision"":""detected"",""reasons"":[]}],""status"":""detected"",""edge_count_insufficient"":false,""entry_excluded"":false,""exit_excluded"":false},{""point"":[139.74263,35.65947],""route_idx"":17,""entry_ref_idx"":16,""exit_ref_idx"":18,""angle_deg"":77.8,""entry_way_id"":858775691,""exit_way_id"":858775694,""entry_highway"":""trunk"",""exit_highway"":""primary"",""entry_match_dist_m"":4.153,""exit_match_dist_m"":2.306,""entry_match_margin_m"":0.944,""exit_match_margin_m"":2.323,""entry_candidates"":[{""way_id"":858775691,""highway"":""trunk"",""distance_m"":4.153},{""way_id"":858775694,""highway"":""primary"",""distance_m"":5.097},{""way_id"":858775692,""highway"":""primary"",""distance_m"":5.297},{""way_id"":23456325,""highway"":""primary"",""distance_m"":5.734},{""way_id"":1376772877,""highway"":""trunk"",""distance_m"":5.734}],""exit_candidates"":[{""way_id"":858775694,""highway"":""primary"",""distance_m"":2.306}],""ambiguous"":true,""node_id"":2398054931,""edge_count"":4,""connected_ways"":[{""way_id"":858775686,""highway"":""primary"",""excluded"":false,""edge_count"":1},{""way_id"":858775687,""highway"":""trunk"",""excluded"":false,""edge_count"":1},{""way_id"":858775691,""highway"":""trunk"",""excluded"":false,""edge_count"":1},{""way_id"":858775694,""highway"":""primary"",""excluded"":false,""edge_count"":1}],""determinate"":true,""ambiguous_but_determinate"":true,""combination_results"":[{""entry_way_id"":858775691,""entry_highway"":""trunk"",""exit_way_id"":858775694,""exit_highway"":""primary"",""decision"":""detected"",""reasons"":[]},{""entry_way_id"":858775694,""entry_highway"":""primary"",""exit_way_id"":858775694,""exit_highway"":""primary"",""decision"":""detected"",""reasons"":[]},{""entry_way_id"":858775692,""entry_highway"":""primary"",""exit_way_id"":858775694,""exit_highway"":""primary"",""decision"":""detected"",""reasons"":[]},{""entry_way_id"":23456325,""entry_highway"":""primary"",""exit_way_id"":858775694,""exit_highway"":""primary"",""decision"":""detected"",""reasons"":[]},{""entry_way_id"":1376772877,""entry_highway"":""trunk"",""exit_way_id"":858775694,""exit_highway"":""primary"",""decision"":""detected"",""reasons"":[]}],""status"":""detected"",""edge_count_insufficient"":false,""entry_excluded"":false,""exit_excluded"":false}]",35,overpass-api.de=38; maps.mail.ru=6
品川→東京,幹線道路中心,v4,OK,,1,1,0,741785139,1,2,2,0,0,1,1,1,1,"[{""point"":[139.74365,35.63051],""route_idx"":11,""entry_ref_idx"":10,""exit_ref_idx"":12,""angle_deg"":50.5,""entry_way_id"":558518250,""exit_way_id"":558518250,""entry_highway"":""pedestrian"",""exit_highway"":""pedestrian"",""entry_match_dist_m"":1.937,""exit_match_dist_m"":3.018,""entry_match_margin_m"":27.664,""exit_match_margin_m"":12.782,""entry_candidates"":[{""way_id"":558518250,""highway"":""pedestrian"",""distance_m"":1.937}],""exit_candidates"":[{""way_id"":558518250,""highway"":""pedestrian"",""distance_m"":3.018}],""ambiguous"":false,""node_id"":5386763061,""edge_count"":0,""connected_ways"":[{""way_id"":558518250,""highway"":""pedestrian"",""excluded"":true,""edge_count"":2}],""determinate"":true,""ambiguous_but_determinate"":false,""combination_results"":[{""entry_way_id"":558518250,""entry_highway"":""pedestrian"",""exit_way_id"":558518250,""exit_highway"":""pedestrian"",""decision"":""excluded"",""reasons"":[""edge_count_insufficient"",""entry_way_excluded"",""exit_way_excluded""]}],""status"":""excluded"",""edge_count_insufficient"":true,""entry_excluded"":true,""exit_excluded"":true},{""point"":[139.75297,35.64911],""route_idx"":31,""entry_ref_idx"":30,""exit_ref_idx"":32,""angle_deg"":78.2,""entry_way_id"":1033723439,""exit_way_id"":656235283,""entry_highway"":""trunk"",""exit_highway"":""trunk"",""entry_match_dist_m"":2.911,""exit_match_dist_m"":2.449,""entry_match_margin_m"":6.421,""exit_match_margin_m"":4.711,""entry_candidates"":[{""way_id"":1033723439,""highway"":""trunk"",""distance_m"":2.911}],""exit_candidates"":[{""way_id"":656235283,""highway"":""trunk"",""distance_m"":2.449}],""ambiguous"":false,""node_id"":31295414,""edge_count"":4,""connected_ways"":[{""way_id"":147812389,""highway"":""tertiary"",""excluded"":false,""edge_count"":1},{""way_id"":265345994,""highway"":""trunk"",""excluded"":false,""edge_count"":1},{""way_id"":656235284,""highway"":""trunk"",""excluded"":false,""edge_count"":1},{""way_id"":1033723439,""highway"":""trunk"",""excluded"":false,""edge_count"":1}],""determinate"":true,""ambiguous_but_determinate"":false,""combination_results"":[{""entry_way_id"":1033723439,""entry_highway"":""trunk"",""exit_way_id"":656235283,""exit_highway"":""trunk"",""decision"":""detected"",""reasons"":[]}],""status"":""detected"",""edge_count_insufficient"":false,""entry_excluded"":false,""exit_excluded"":false}]",36,overpass-api.de=40; maps.mail.ru=2
渋谷→六本木,幹線道路中心,v4,OK,,0,0,0,,0,0,0,0,0,0,0,0,0,[],16,overpass-api.de=16; maps.mail.ru=0
下北沢→三軒茶屋,住宅街中心,v4,OK,,0,0,0,,1,2,2,0,0,1,1,1,0,"[{""point"":[139.66946,35.66121],""route_idx"":1,""entry_ref_idx"":0,""exit_ref_idx"":2,""angle_deg"":102.2,""entry_way_id"":1076444530,""exit_way_id"":31824941,""entry_highway"":""pedestrian"",""exit_highway"":""tertiary"",""entry_match_dist_m"":1.792,""exit_match_dist_m"":0.129,""entry_match_margin_m"":57.836,""exit_match_margin_m"":5.015,""entry_candidates"":[{""way_id"":1076444530,""highway"":""pedestrian"",""distance_m"":1.792}],""exit_candidates"":[{""way_id"":31824941,""highway"":""tertiary"",""distance_m"":0.129}],""ambiguous"":false,""node_id"":9871256109,""edge_count"":2,""connected_ways"":[{""way_id"":31824941,""highway"":""tertiary"",""excluded"":false,""edge_count"":2},{""way_id"":1076444529,""highway"":""pedestrian"",""excluded"":true,""edge_count"":1}],""determinate"":true,""ambiguous_but_determinate"":false,""combination_results"":[{""entry_way_id"":1076444530,""entry_highway"":""pedestrian"",""exit_way_id"":31824941,""exit_highway"":""tertiary"",""decision"":""excluded"",""reasons"":[""edge_count_insufficient"",""entry_way_excluded""]}],""status"":""excluded"",""edge_count_insufficient"":true,""entry_excluded"":true,""exit_excluded"":false},{""point"":[139.66883,35.66018],""route_idx"":2,""entry_ref_idx"":1,""exit_ref_idx"":3,""angle_deg"":62.3,""entry_way_id"":31824941,""exit_way_id"":31824941,""entry_highway"":""tertiary"",""exit_highway"":""tertiary"",""entry_match_dist_m"":0.129,""exit_match_dist_m"":0.705,""entry_match_margin_m"":5.015,""exit_match_margin_m"":4.42,""entry_candidates"":[{""way_id"":31824941,""highway"":""tertiary"",""distance_m"":0.129}],""exit_candidates"":[{""way_id"":31824941,""highway"":""tertiary"",""distance_m"":0.705}],""ambiguous"":false,""node_id"":357202700,""edge_count"":3,""connected_ways"":[{""way_id"":31824941,""highway"":""tertiary"",""excluded"":false,""edge_count"":2},{""way_id"":33614319,""highway"":""unclassified"",""excluded"":false,""edge_count"":1}],""determinate"":true,""ambiguous_but_determinate"":false,""combination_results"":[{""entry_way_id"":31824941,""entry_highway"":""tertiary"",""exit_way_id"":31824941,""exit_highway"":""tertiary"",""decision"":""detected"",""reasons"":[]}],""status"":""detected"",""edge_count_insufficient"":false,""entry_excluded"":false,""exit_excluded"":false}]",15,overpass-api.de=17; maps.mail.ru=4
高円寺→中野,住宅街中心,v4,OK,,0,0,0,,0,0,0,0,0,0,0,0,0,[],10,overpass-api.de=10; maps.mail.ru=0
荻窪→阿佐ヶ谷,住宅街中心,v4,OK,,1,1,0,80835360,0,0,0,0,0,0,0,0,0,[],14,overpass-api.de=0; maps.mail.ru=14
自由が丘→等々力,住宅街中心,v4,OK,,1,1,0,350353685,0,0,0,0,0,0,0,0,0,[],10,overpass-api.de=10; maps.mail.ru=0
浦和→さいたま新都心,住宅街中心,v4,OK,,0,0,0,,0,0,0,0,0,0,0,0,0,[],21,overpass-api.de=21; maps.mail.ru=0
