label,feature_type,osm_key,osm_value,node_id,lat,lng,dist_to_route_m,route_position_m,parent_way_ids,parent_way_highways,direction_tag,tags_json,street_view_url
渋谷→新宿,一時停止,highway,stop,1522967767,35.6653396,139.7028611,8.33,655.3,41857281,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6653396,139.7028611"
渋谷→新宿,一時停止,highway,stop,1522968060,35.6671974,139.7042934,5.81,899.0,138917006,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6671974,139.7042934"
渋谷→新宿,一時停止,highway,stop,5619189103,35.6679387,139.7048237,7.97,994.3,963385012,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6679387,139.7048237"
渋谷→新宿,一時停止,highway,stop,5619189102,35.6679878,139.7047449,16.89,995.2,963385012,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6679878,139.7047449"
渋谷→新宿,一時停止,highway,stop,12285513211,35.6756503,139.7068022,8.05,1956.5,531362280,unclassified,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6756503,139.7068022"
渋谷→新宿,一時停止,highway,stop,12285513212,35.6756002,139.7065195,18.02,1958.6,531362279,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6756002,139.7065195"
渋谷→新宿,一時停止,highway,stop,12285513210,35.6762327,139.7066619,14.4,2022.2,220544944,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6762327,139.7066619"
渋谷→新宿,一時停止,highway,stop,8254068911,35.6893287,139.7022679,7.39,3555.4,170232029,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6893287,139.7022679"
新宿→池袋,一時停止,highway,stop,8329351985,35.6913782,139.7015391,9.34,0.0,635337704,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6913782,139.7015391"
新宿→池袋,一時停止,highway,stop,11162524128,35.6912512,139.7023123,0.91,61.9,155224464,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6912512,139.7023123"
