label,status,error,oneway_violation_count,two_step_violation_count,total_violation_count,route_distance_m,sampled_points,overpass_endpoint_counts
渋谷→新宿,OK,,1,0,1,3591.2,20,overpass-api.de=0; maps.mail.ru=20
新宿→池袋,OK,,1,0,1,4586.0,25,overpass-api.de=25; maps.mail.ru=0
東京→渋谷,OK,,0,1,1,7261.1,35,overpass-api.de=35; maps.mail.ru=3
品川→東京,OK,,1,0,1,6869.6,36,overpass-api.de=2; maps.mail.ru=36
渋谷→六本木,OK,,0,0,0,2862.6,16,overpass-api.de=16; maps.mail.ru=0
下北沢→三軒茶屋,OK,,0,0,0,2240.5,15,overpass-api.de=17; maps.mail.ru=0
高円寺→中野,OK,,0,0,0,1442.9,10,overpass-api.de=0; maps.mail.ru=10
荻窪→阿佐ヶ谷,OK,,1,0,1,1457.8,14,overpass-api.de=0; maps.mail.ru=14
自由が丘→等々力,OK,,1,0,1,2171.1,10,overpass-api.de=10; maps.mail.ru=0
浦和→さいたま新都心,OK,,0,0,0,4627.3,21,overpass-api.de=21; maps.mail.ru=0
吉祥寺→三鷹,OK,,0,0,0,1688.9,5,overpass-api.de=5; maps.mail.ru=0
立川→国分寺,OK,,2,0,2,7103.5,34,overpass-api.de=34; maps.mail.ru=1
横浜→みなとみらい,OK,,2,0,2,1403.9,12,overpass-api.de=1; maps.mail.ru=12
川崎→武蔵小杉,OK,,1,0,1,6532.8,28,overpass-api.de=0; maps.mail.ru=30
千葉→幕張本郷,OK,,2,1,3,12134.9,98,overpass-api.de=110; maps.mail.ru=0
