label,sample_idx,old_20260730_candidate_count,fixed_20260801_overpass_candidate_count,pbf_20260801_candidate_count,old_rank1,fixed_rank1,pbf_rank1,old_rank2,fixed_rank2,pbf_rank2,old_to_fixed_count_diff,old_to_fixed_rank12_diff,fixed_to_pbf_count_diff,fixed_to_pbf_rank12_diff
渋谷→新宿,0,206,206,206,664492786,664492786,664492786,534157302,534157302,534157302,False,False,False,False
渋谷→新宿,1,206,206,206,798794765,798794765,798794765,1069882500,1069882500,1069882500,False,False,False,False
渋谷→新宿,2,206,206,206,798739072,798739072,798739072,1073294152,1073294152,1073294152,False,False,False,False
渋谷→新宿,3,206,206,206,798739072,798739072,798739072,944268180,944268180,944268180,False,False,False,False
渋谷→新宿,4,206,206,206,117083664,117083664,117083664,1368012337,1368012337,1368012337,False,False,False,False
渋谷→新宿,5,206,206,206,1061981261,1061981261,1061981261,1061981255,1061981255,1061981255,False,False,False,False
渋谷→新宿,6,206,206,206,1061981252,1061981252,1061981252,665965038,665965038,665965038,False,False,False,False
渋谷→新宿,7,206,206,206,1061981252,1061981252,1061981252,670335461,670335461,670335461,False,False,False,False
渋谷→新宿,8,206,206,206,670335467,670335467,670335467,798794766,798794766,798794766,False,False,False,False
渋谷→新宿,9,206,206,206,796871114,796871114,796871114,41857396,41857396,41857396,False,False,False,False
渋谷→新宿,10,206,206,206,796871114,796871114,796871114,860381101,860381101,860381101,False,False,False,False
渋谷→新宿,11,206,206,206,860381103,860381103,860381103,39683367,39683367,39683367,False,False,False,False
渋谷→新宿,12,206,206,206,213526441,213526441,213526441,39683528,39683528,39683528,False,False,False,False
渋谷→新宿,13,206,206,206,213526441,213526441,213526441,1119117311,1119117311,1119117311,False,False,False,False
渋谷→新宿,14,206,206,206,213526441,213526441,213526441,1463063079,1463063079,1463063079,False,False,False,False
渋谷→新宿,15,206,206,206,213526441,213526441,213526441,199152225,199152225,199152225,False,False,False,False
渋谷→新宿,16,206,206,206,213526441,213526441,213526441,567002242,567002242,567002242,False,False,False,False
渋谷→新宿,17,206,206,206,199152190,199152190,199152190,924378580,924378580,924378580,False,False,False,False
渋谷→新宿,18,206,206,206,138533178,138533178,138533178,670733022,670733022,670733022,False,False,False,False
渋谷→新宿,19,206,206,206,39436592,39436592,39436592,692356898,692356898,692356898,False,False,False,False
新宿→池袋,0,188,188,188,155224464,155224464,155224464,306838996,306838996,306838996,False,False,False,False
新宿→池袋,1,188,188,188,155224464,155224464,155224464,39436618,39436618,39436618,False,False,False,False
新宿→池袋,2,188,188,188,39436598,39436598,39436598,670763643,670763643,670763643,False,False,False,False
新宿→池袋,3,188,188,188,1120796134,1120796134,1120796134,660599138,660599138,660599138,False,False,False,False
新宿→池袋,4,188,188,188,688686080,688686080,688686080,318034646,318034646,318034646,False,False,False,False
新宿→池袋,5,188,188,188,688686080,688686080,688686080,39436538,39436538,39436538,False,False,False,False
新宿→池袋,6,188,188,188,688686080,688686080,688686080,244906595,244906595,244906595,False,False,False,False
新宿→池袋,7,188,188,188,688819559,688819559,688819559,697197851,697197851,697197851,False,False,False,False
新宿→池袋,8,188,188,188,691691444,691691444,691691444,682765997,682765997,682765997,False,False,False,False
新宿→池袋,9,188,188,188,691691444,691691444,691691444,98726948,98726948,98726948,False,False,False,False
新宿→池袋,10,188,188,188,415221604,415221604,415221604,1334924028,1334924028,1334924028,False,False,False,False
新宿→池袋,11,188,188,188,415221604,415221604,415221604,94515954,94515954,94515954,False,False,False,False
新宿→池袋,12,188,188,188,69518078,69518078,69518078,415221604,415221604,415221604,False,False,False,False
新宿→池袋,13,188,188,188,688819558,688819558,688819558,415221604,415221604,415221604,False,False,False,False
新宿→池袋,14,188,188,188,683237303,683237303,683237303,415221599,415221599,415221599,False,False,False,False
新宿→池袋,15,188,188,188,415221602,415221602,415221602,117083662,117083662,117083662,False,False,False,False
新宿→池袋,16,188,188,188,415221602,415221602,415221602,467676904,467676904,467676904,False,False,False,False
新宿→池袋,17,188,188,188,97367343,97367343,97367343,156260998,156260998,156260998,False,False,False,False
新宿→池袋,18,188,188,188,156260998,156260998,156260998,376630575,376630575,376630575,False,False,False,False
新宿→池袋,19,188,188,188,688557393,688557393,688557393,376630575,376630575,376630575,False,False,False,False
新宿→池袋,20,188,188,188,688557393,688557393,688557393,228137437,228137437,228137437,False,False,False,False
新宿→池袋,21,188,188,188,648625671,648625671,648625671,228180934,228180934,228180934,False,False,False,False
新宿→池袋,22,188,188,188,228180934,228180934,228180934,648625671,648625671,648625671,False,False,False,False
新宿→池袋,23,188,188,188,1128023036,1128023036,1128023036,156246572,156246572,156246572,False,False,False,False
新宿→池袋,24,188,188,188,156246572,156246572,156246572,1128023039,1128023039,1128023039,False,False,False,False
東京→渋谷,0,342,342,342,1450867353,1450867353,1450867353,387312965,387312965,387312965,False,False,False,False
東京→渋谷,1,342,342,342,59266960,59266960,59266960,387312967,387312967,387312967,False,False,False,False
東京→渋谷,2,342,342,342,59266960,59266960,59266960,474593059,474593059,474593059,False,False,False,False
東京→渋谷,3,342,342,342,157191451,157191451,157191451,45171692,45171692,45171692,False,False,False,False
東京→渋谷,4,342,342,342,206353802,206353802,206353802,631239776,631239776,631239776,False,False,False,False
東京→渋谷,5,342,342,342,206353802,206353802,206353802,583110309,583110309,583110309,False,False,False,False
東京→渋谷,6,342,342,342,662063657,662063657,662063657,813532923,813532923,813532923,False,False,False,False
東京→渋谷,7,342,342,342,243268913,243268913,243268913,813532923,813532923,813532923,False,False,False,False
東京→渋谷,8,342,342,342,931757787,931757787,931757787,678476157,678476157,678476157,False,False,False,False
東京→渋谷,9,342,342,342,931757787,931757787,931757787,474603749,474603749,474603749,False,False,False,False
東京→渋谷,10,342,342,342,931757787,931757787,931757787,474600371,474600371,474600371,False,False,False,False
東京→渋谷,11,342,342,342,931757787,931757787,931757787,683135150,683135150,683135150,False,False,False,False
東京→渋谷,12,342,342,342,253812412,253812412,253812412,1192656136,1192656136,1192656136,False,False,False,False
東京→渋谷,13,342,342,342,253812412,253812412,253812412,474600366,474600366,474600366,False,False,False,False
東京→渋谷,14,342,342,342,1035341897,1035341897,1035341897,858775690,858775690,858775690,False,False,False,False
東京→渋谷,15,342,342,342,858775693,858775693,858775693,858775686,858775686,858775686,False,False,False,False
東京→渋谷,16,342,342,342,19023682,19023682,19023682,858775692,858775692,858775692,False,False,False,False
東京→渋谷,17,342,342,342,858775692,858775692,858775692,1254228152,1254228152,1254228152,False,False,False,False
東京→渋谷,18,342,342,342,858775692,858775692,858775692,682315373,682315373,682315373,False,False,False,False
東京→渋谷,19,342,342,342,1344791873,1344791873,1344791873,1344791874,1344791874,1344791874,False,False,False,False
東京→渋谷,20,342,342,342,271979231,271979231,271979231,927004529,927004529,927004529,False,False,False,False
東京→渋谷,21,342,342,342,271979231,271979231,271979231,927004516,927004516,927004516,False,False,False,False
東京→渋谷,22,342,342,342,927004519,927004519,927004519,693373501,693373501,693373501,False,False,False,False
東京→渋谷,23,342,342,342,888162704,888162704,888162704,755562447,755562447,755562447,False,False,False,False
東京→渋谷,24,342,342,342,888162704,888162704,888162704,755562446,755562446,755562446,False,False,False,False
東京→渋谷,25,342,342,342,122928192,122928192,122928192,261065059,261065059,261065059,False,False,False,False
東京→渋谷,26,342,342,342,261065068,261065068,261065068,755562443,755562443,755562443,False,False,False,False
東京→渋谷,27,342,342,342,755562444,755562444,755562444,261065068,261065068,261065068,False,False,False,False
東京→渋谷,28,342,342,342,935686680,935686680,935686680,755562444,755562444,755562444,False,False,False,False
東京→渋谷,29,342,342,342,775539561,775539561,775539561,775539562,775539562,775539562,False,False,False,False
東京→渋谷,30,342,342,342,922476289,922476289,922476289,350053191,350053191,350053191,False,False,False,False
東京→渋谷,31,342,342,342,141293470,141293470,141293470,922476295,922476295,922476295,False,False,False,False
東京→渋谷,32,342,342,342,284075894,284075894,284075894,141293465,141293465,141293465,False,False,False,False
東京→渋谷,33,342,342,342,852978896,852978896,852978896,211402007,211402007,211402007,False,False,False,False
東京→渋谷,34,342,342,342,680253718,680253718,680253718,664521510,664521510,664521510,False,False,False,False
品川→東京,0,313,313,313,680899281,680899281,680899281,680899279,680899279,680899279,False,False,False,False
品川→東京,1,313,313,313,172281628,172281628,172281628,172281627,172281627,172281627,False,False,False,False
品川→東京,2,313,313,313,172281627,172281627,172281627,23690216,23690216,23690216,False,False,False,False
品川→東京,3,313,313,313,172281624,172281624,172281624,1035597852,1035597852,1035597852,False,False,False,False
品川→東京,4,313,313,313,265010603,265010603,265010603,558518250,558518250,558518250,False,False,False,False
品川→東京,5,313,313,313,558518250,558518250,558518250,582256211,582256211,582256211,False,False,False,False
品川→東京,6,313,313,313,558518250,558518250,558518250,558518249,558518249,558518249,False,False,False,False
品川→東京,7,313,313,313,558518249,558518249,558518249,1450174835,1450174835,1450174835,False,False,False,False
品川→東京,8,313,313,313,558518249,558518249,558518249,1450174835,1450174835,1450174835,False,False,False,False
品川→東京,9,313,313,313,1450174835,1450174835,1450174835,356912946,356912946,356912946,False,False,False,False
品川→東京,10,313,313,313,230895574,230895574,230895574,1450872526,1450872526,1450872526,False,False,False,False
品川→東京,11,313,313,313,211690605,211690605,211690605,19247435,19247435,19247435,False,False,False,False
品川→東京,12,313,313,313,211690605,211690605,211690605,252127020,252127020,252127020,False,False,False,False
品川→東京,13,313,313,313,23690234,23690234,23690234,211690605,211690605,211690605,False,False,False,False
品川→東京,14,313,313,313,176674159,176674159,176674159,4848884,4848884,4848884,False,False,False,False
品川→東京,15,313,313,313,59973392,59973392,59973392,4848884,4848884,4848884,False,False,False,False
品川→東京,16,313,313,313,421300042,421300042,421300042,59973382,59973382,59973382,False,False,False,False
品川→東京,17,313,313,313,1033723439,1033723439,1033723439,1033723438,1033723438,1033723438,False,False,False,False
品川→東京,18,313,313,313,741785139,741785139,741785139,1033723439,1033723439,1033723439,False,False,False,False
品川→東京,19,313,313,313,1033723439,1033723439,1033723439,656235284,656235284,656235284,False,False,False,False
品川→東京,20,313,313,313,656235283,656235283,656235283,111594585,111594585,111594585,False,False,False,False
品川→東京,21,313,313,313,253812419,253812419,253812419,25824167,25824167,25824167,False,False,False,False
品川→東京,22,313,313,313,253812419,253812419,253812419,665351157,665351157,665351157,False,False,False,False
品川→東京,23,313,313,313,4848932,4848932,4848932,1123745365,1123745365,1123745365,False,False,False,False
品川→東京,24,313,313,313,253812422,253812422,253812422,261065061,261065061,261065061,False,False,False,False
品川→東京,25,313,313,313,667962674,667962674,667962674,191327485,191327485,191327485,False,False,False,False
品川→東京,26,313,313,313,196380141,196380141,196380141,538982927,538982927,538982927,False,False,False,False
品川→東京,27,313,313,313,196380141,196380141,196380141,538982927,538982927,538982927,False,False,False,False
品川→東京,28,313,313,313,1090618166,1090618166,1090618166,669755800,669755800,669755800,False,False,False,False
品川→東京,29,313,313,313,1026056857,1026056857,1026056857,1070720649,1070720649,1070720649,False,False,False,False
品川→東京,30,313,313,313,40969586,40969586,40969586,40969585,40969585,40969585,False,False,False,False
品川→東京,31,313,313,313,1070720653,1070720653,1070720653,23770583,23770583,23770583,False,False,False,False
品川→東京,32,313,313,313,203572465,203572465,203572465,23770583,23770583,23770583,False,False,False,False
品川→東京,33,313,313,313,676291216,676291216,676291216,203572501,203572501,203572501,False,False,False,False
品川→東京,34,313,313,313,1485371598,1485371598,1485371598,1105155928,1105155928,1105155928,False,False,False,False
品川→東京,35,313,313,313,1360102103,1360102103,1360102103,1450867349,1450867349,1450867349,False,False,False,False
渋谷→六本木,0,127,127,127,680253718,680253718,680253718,664521510,664521510,664521510,False,False,False,False
渋谷→六本木,1,127,127,127,664881024,664881024,664881024,680253719,680253719,680253719,False,False,False,False
渋谷→六本木,2,127,127,127,211402007,211402007,211402007,664819019,664819019,664819019,False,False,False,False
渋谷→六本木,3,127,127,127,611222110,611222110,611222110,211286456,211286456,211286456,False,False,False,False
渋谷→六本木,4,127,127,127,611222110,611222110,611222110,109231692,109231692,109231692,False,False,False,False
渋谷→六本木,5,127,127,127,611222110,611222110,611222110,511276639,511276639,511276639,False,False,False,False
渋谷→六本木,6,127,127,127,141293460,141293460,141293460,141293467,141293467,141293467,False,False,False,False
渋谷→六本木,7,127,127,127,141293470,141293470,141293470,141293460,141293460,141293460,False,False,False,False
渋谷→六本木,8,127,127,127,852978900,852978900,852978900,914330752,914330752,914330752,False,False,False,False
渋谷→六本木,9,127,127,127,934924985,934924985,934924985,202809279,202809279,202809279,False,False,False,False
渋谷→六本木,10,127,127,127,934924985,934924985,934924985,185745188,185745188,185745188,False,False,False,False
渋谷→六本木,11,127,127,127,934924985,934924985,934924985,628330003,628330003,628330003,False,False,False,False
渋谷→六本木,12,127,127,127,852789786,852789786,852789786,628330003,628330003,628330003,False,False,False,False
渋谷→六本木,13,127,127,127,888162707,888162707,888162707,261065069,261065069,261065069,False,False,False,False
渋谷→六本木,14,127,127,127,271979242,271979242,271979242,600251619,600251619,600251619,False,False,False,False
渋谷→六本木,15,127,127,127,927004531,927004531,927004531,1328383040,1328383040,1328383040,False,False,False,False
下北沢→三軒茶屋,0,88,88,88,41949455,41949455,41949455,850994489,850994489,850994489,False,False,False,False
下北沢→三軒茶屋,1,88,88,88,31824941,31824941,31824941,1076444529,1076444529,1076444529,False,False,False,False
下北沢→三軒茶屋,2,88,88,88,31824941,31824941,31824941,33614319,33614319,33614319,False,False,False,False
下北沢→三軒茶屋,3,88,88,88,31824941,31824941,31824941,1455713749,1455713749,1455713749,False,False,False,False
下北沢→三軒茶屋,4,88,88,88,1455713691,1455713691,1455713691,31824941,31824941,31824941,False,False,False,False
下北沢→三軒茶屋,5,88,88,88,1455713691,1455713691,1455713691,41949703,41949703,41949703,False,False,False,False
下北沢→三軒茶屋,6,88,88,88,32623771,32623771,32623771,1455713691,1455713691,1455713691,False,False,False,False
下北沢→三軒茶屋,7,88,88,88,1455713691,1455713691,1455713691,1455626153,1455626153,1455626153,False,False,False,False
下北沢→三軒茶屋,8,88,88,88,174526353,174526353,174526353,1455626149,1455626149,1455626149,False,False,False,False
下北沢→三軒茶屋,9,88,88,88,174526353,174526353,174526353,48728743,48728743,48728743,False,False,False,False
下北沢→三軒茶屋,10,88,88,88,174526353,174526353,174526353,277209534,277209534,277209534,False,False,False,False
下北沢→三軒茶屋,11,88,88,88,900818661,900818661,900818661,1286492781,1286492781,1286492781,False,False,False,False
下北沢→三軒茶屋,12,88,88,88,26950358,26950358,26950358,36710485,36710485,36710485,False,False,False,False
