label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,perp_rank1_way_id,perp_rank1_highway,perp_rank1_oneway,perp_rank1_name,rank2_way_id,rank2_highway,rank2_dist_m,match_dist_m,match_margin_m,match_ambiguous,verify_group,known_group_node_rank1,known_group_perp_rank1,oneway_violation,oneway_confidence,oneway_misaligned,diag_angle_deg
渋谷→新宿,0,0,35.65957,139.70235,206,664527476,664492786,footway,,,534157302,primary,0.932,0.412,0.52,True,,,,False,0.0,True,90.0
渋谷→新宿,1,1,35.6636,139.70206,206,798794765,798794765,tertiary,,神宮通り,1069882500,footway,1.905,0.187,1.718,True,,,,False,0.0,True,110.0
渋谷→新宿,2,2,35.66473,139.70251,206,798739072,798739072,primary,yes,明治通り,1073294152,footway,7.516,0.951,6.564,False,,,,False,0.0,False,2.4
渋谷→新宿,3,3,35.66846,139.70532,206,798739072,798739072,primary,yes,明治通り,944268180,secondary,1.916,0.765,1.151,True,,,,False,0.0,False,1.4
渋谷→新宿,4,4,35.67018,139.70672,206,26604007,117083664,residential,,,1368012337,primary,2.862,0.12,2.743,False,,,,False,0.0,True,98.5
渋谷→新宿,5,5,35.67208,139.70808,206,1061981253,1061981261,primary,yes,明治通り,1061981255,tertiary,3.292,1.016,2.276,False,,,,False,0.0,False,1.7
渋谷→新宿,6,6,35.67248,139.70807,206,1061981252,1061981252,primary,yes,明治通り,665965038,footway,3.167,2.648,0.519,True,,,,False,0.0,False,3.2
渋谷→新宿,7,7,35.67453,139.70712,206,670335461,1061981252,primary,yes,明治通り,670335461,footway,2.906,2.852,0.054,True,,,,False,0.0,False,2.6
渋谷→新宿,8,8,35.67753,139.70602,206,798794766,670335467,footway,,,798794766,primary,5.192,1.013,4.179,False,,,,False,0.0,False,178.1
渋谷→新宿,9,9,35.67994,139.70451,206,41857396,796871114,primary,yes,明治通り,41857396,residential,1.531,0.735,0.797,True,,,,False,0.0,False,1.1
渋谷→新宿,10,10,35.68032,139.70451,206,796871114,796871114,primary,yes,明治通り,860381101,secondary,4.269,0.007,4.263,False,,,,False,0.0,False,28.6
渋谷→新宿,11,11,35.68083,139.70453,206,39683367,860381103,primary,yes,明治通り,39683367,unclassified,1.884,1.693,0.19,True,,,,False,0.0,False,0.2
渋谷→新宿,12,12,35.68233,139.70455,206,213526441,213526441,primary,yes,明治通り,39683528,residential,6.254,1.499,4.755,False,,,,False,0.0,False,14.4
渋谷→新宿,13,13,35.68306,139.7045,206,1119117311,213526441,primary,yes,明治通り,1119117311,primary,3.106,0.797,2.309,False,,,,False,0.0,False,4.1
渋谷→新宿,14,14,35.68366,139.70429,206,39683340,213526441,primary,yes,明治通り,1463063079,footway,1.996,0.556,1.44,True,,,,False,0.0,False,11.4
渋谷→新宿,15,15,35.68444,139.70381,206,199152225,213526441,primary,yes,明治通り,199152225,unclassified,2.039,0.934,1.104,True,,,,False,0.0,False,6.3
渋谷→新宿,16,16,35.68602,139.70336,206,213526441,213526441,primary,yes,明治通り,567002242,footway,7.065,0.923,6.141,False,,,,False,0.0,False,0.8
渋谷→新宿,17,17,35.68783,139.70284,206,199152190,199152190,primary,yes,明治通り,924378580,unclassified,4.525,0.172,4.353,False,,,,False,0.0,False,40.7
渋谷→新宿,18,19,35.68928,139.7022,206,138533178,138533178,unclassified,yes,,670733022,footway,5.454,1.392,4.062,False,残存A群,A,A,True,1.0,False,175.5
渋谷→新宿,19,20,35.68962,139.70208,206,39436592,39436592,unclassified,,新宿ランブリングロード,692356898,living_street,1.905,1.072,0.832,True,,,,False,0.0,False,8.9
新宿→池袋,0,0,35.69136,139.70164,188,155224464,155224464,unclassified,yes,,306838996,secondary,2.433,0.685,1.748,True,,,,False,0.0,False,1.0
新宿→池袋,1,1,35.6911,139.70338,188,155224464,155224464,unclassified,yes,,39436618,unclassified,2.375,2.319,0.056,True,,,,False,0.0,False,7.0
新宿→池袋,2,3,35.6905,139.70455,188,39436598,39436598,unclassified,yes,,670763643,footway,1.581,0.894,0.687,True,,,,False,0.0,True,114.5
新宿→池袋,3,4,35.69362,139.70649,188,1120796134,1120796134,primary,yes,明治通り,660599138,footway,6.603,0.566,6.037,False,,,,False,0.0,False,9.8
