label,road_type,new_distance_m,csv_system_distance_m,distance_delta_m,new_time_s,csv_system_time_s,time_delta_s,new_violation_count,csv_system_violation_count,new_violation_count_high_conf,csv_system_violation_count_high_conf,new_original_distance_m,new_distance_diff_m,rerouted,using_edge_ids,violation_types,overpass_endpoint_counts,error
渋谷→新宿,幹線道路中心,4439.5,4439.5,0.0,1176.3,1176.3,0.0,0,0,0,0,4439.5,0.0,False,True,,overpass-api.de=63; maps.mail.ru=0,
東京→渋谷,幹線道路中心,8242.5,8242.5,0.0,1969.2,1969.2,0.0,3,3,3,3,8242.5,0.0,False,True,two_step_turn,overpass-api.de=9; maps.mail.ru=81,
新宿→池袋,幹線道路中心,5331.5,5331.5,0.0,1392.0,1392.0,0.0,0,0,0,0,5331.5,0.0,False,True,,overpass-api.de=47; maps.mail.ru=0,
品川→東京,幹線道路中心,7685.9,7685.9,0.0,1996.3,1996.3,0.0,1,1,1,1,7685.9,0.0,False,True,two_step_turn,overpass-api.de=81; maps.mail.ru=1,
渋谷→六本木,幹線道路中心,3409.2,3409.2,0.0,832.1,832.1,0.0,0,0,0,0,3409.2,0.0,False,True,,overpass-api.de=23; maps.mail.ru=44,
下北沢→三軒茶屋,住宅街中心,2233.1,2233.1,0.0,485.2,485.2,0.0,1,1,1,1,2233.1,0.0,False,True,two_step_turn,overpass-api.de=0; maps.mail.ru=17,
高円寺→中野,住宅街中心,1903.3,1903.3,0.0,462.0,462.0,0.0,1,1,1,1,1903.3,0.0,False,True,two_step_turn,overpass-api.de=0; maps.mail.ru=25,
荻窪→阿佐ヶ谷,住宅街中心,1428.8,1428.8,0.0,318.1,318.1,0.0,0,0,0,0,1428.8,0.0,False,True,,overpass-api.de=6; maps.mail.ru=0,
自由が丘→等々力,住宅街中心,2105.7,2105.7,0.0,421.9,421.9,0.0,0,0,0,0,2105.7,0.0,False,True,,overpass-api.de=12; maps.mail.ru=0,
浦和→さいたま新都心,住宅街中心,4427.7,4427.7,0.0,902.1,902.1,0.0,1,1,1,1,4427.7,0.0,False,True,two_step_turn,overpass-api.de=0; maps.mail.ru=31,
吉祥寺→三鷹,混在型,3988.6,3988.6,0.0,932.5,932.5,0.0,1,1,1,1,3988.6,0.0,False,True,two_step_turn,overpass-api.de=0; maps.mail.ru=38,
立川→国分寺,混在型,6758.4,6758.4,0.0,1470.1,1470.1,0.0,0,0,0,0,6758.4,0.0,False,True,,overpass-api.de=0; maps.mail.ru=40,
横浜→みなとみらい,混在型,2697.6,2697.6,0.0,868.5,868.5,0.0,1,1,1,1,2277.7,419.9,True,True,oneway,overpass-api.de=32; maps.mail.ru=0,
川崎→武蔵小杉,混在型,8049.3,8049.3,0.0,1780.7,1780.7,0.0,1,1,1,1,8049.3,0.0,False,True,two_step_turn,overpass-api.de=0; maps.mail.ru=79,
千葉→幕張本郷,混在型,8416.1,8416.1,0.0,1780.5,1780.5,0.0,1,1,1,1,8416.1,0.0,False,True,two_step_turn,overpass-api.de=0; maps.mail.ru=33,
