"点ID","way ID","群","緯度","経度","ストリートビューURL","OSMの該当タグ（8/1固定時点）","OSMタグの最終更新日（UTC）","画像撮影年月","確認した標識の内容","判定"
"P01","138533178","A","35.68928","139.70220","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.68928,139.70220","highway=unclassified; oneway=yes; maxspeed=20; surface=asphalt","2025-01-11T11:46:47Z","","","誤検出（OSMタグ不備）"
"P02","474601303","B","35.65980","139.74300","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.65980,139.74300","highway=tertiary; oneway=yes; lanes=1; cycleway:left=no; name=東京タワー通り","2026-01-21T21:53:17Z","","","誤検出（分離way等の誤対応）"
"P03","271979254","B","35.66017","139.74041","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.66017,139.74041","highway=primary; oneway=yes; lanes=2; cycleway:left=shared_lane; name=外苑東通り; ref=319","2026-03-07T08:42:11Z","","","誤検出（分離way等の誤対応）"
"P04","23690216","A","35.62903","139.74278","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.62903,139.74278","highway=unclassified; oneway=yes; lanes=1; cycleway:left=no; surface=paving_stones","2025-11-12T05:43:57Z","","","誤検出（OSMタグ不備）"
"P05","741785139","B","35.64862","139.75466","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.64862,139.75466","highway=tertiary_link; oneway=yes; lanes=1","2025-08-31T01:23:17Z","","","誤検出（分離way等の誤対応）"
"P06","667962675","B","35.66705","139.76072","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.66705,139.76072","highway=trunk; oneway=yes; lanes=2; access=yes; foot=no; name=中央通り; ref=15","2026-01-13T10:41:32Z","","","誤検出（分離way等の誤対応）"
"P07","80835360","A","35.70462","139.63456","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.70462,139.63456","highway=residential; oneway=yes","2022-05-28T09:36:24Z","","","誤検出（OSMタグ不備）"
"P08","350353685","A","35.60661","139.66757","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.60661,139.66757","highway=service; service=alley; oneway=yes; surface=paving_stones; note=FixMe:Please adjust the position actively.","2025-07-09T13:39:03Z","","","誤検出（OSMタグ不備）"
"P09","325347768","A","35.85906","139.65813","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.85906,139.65813","highway=unclassified; oneway=yes; source=Bing, 2007-03","2016-07-21T22:24:47Z","","","誤検出（OSMタグ不備）"
"P10","853388885","C","35.69665","139.41280","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.69665,139.41280","highway=tertiary; oneway=yes; maxspeed=50; surface=paved","2026-04-27T14:47:09Z","","","真の違反"
"P11","1429406683","B","35.69153","139.42453","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.69153,139.42453","highway=tertiary; oneway=yes; cycleway=lane; cycleway:lane=advisory; name=立川南通り","2025-11-25T11:17:57Z","","","誤検出（分離way等の誤対応）"
"P12","28413948","C","35.46414","139.62264","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.46414,139.62264","highway=unclassified; oneway=yes; lanes=1","2023-10-18T05:50:10Z","","","真の違反"
"P13","28413948","C","35.46358","139.62261","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.46358,139.62261","highway=unclassified; oneway=yes; lanes=1","2023-10-18T05:50:10Z","","","真の違反"
"P14","263457845","B","35.55607","139.67756","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.55607,139.67756","highway=tertiary; oneway=yes; lanes=2; name=南武沿線道路; source=survey;bing","2023-09-09T08:49:38Z","","","誤検出（分離way等の誤対応）"
"P15","22961575","B","35.62677","140.11468","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.62677,140.11468","highway=trunk; oneway=yes; lanes=2; name=国道126号; ref=126","2023-04-21T12:14:23Z","","","誤検出（分離way等の誤対応）"
"P16","22961575","B","35.63460","140.11174","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.63460,140.11174","highway=trunk; oneway=yes; lanes=2; name=国道126号; ref=126","2023-04-21T12:14:23Z","","","誤検出（分離way等の誤対応）"
"P17","142222817","A","35.65934","140.05664","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.65934,140.05664","highway=residential; oneway=yes; source=bing 2007.04","2016-12-02T18:37:48Z","","","誤検出（OSMタグ不備）"
"P18","151808609","D","35.67210","140.04245","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.67210,140.04245","highway=unclassified; oneway=yes; source=bing","2022-08-03T06:26:57Z","","","誤検出（原因未特定）"
